date_np,bars,volume,open,high,low,close
2026-03-29,1,11273,304.1,304.1,304,304.1
2026-03-30,203,510443,304,307.8,294,296
2026-03-31,195,285543,298.2,299.9,289,298
2026-04-01,208,409553,298,298,284,285
2026-04-02,206,422084,285,292,280,285.1
2026-04-05,214,464737,280.2,280.2,270.6,271
2026-04-06,208,330227,271,290,270,286
2026-04-07,194,210616,291.7,292,284.3,285
2026-04-08,163,239065,288,291,286.5,289.9
2026-04-09,186,199310,293.6,297,290,295
2026-04-10,157,248446,297.5,297.5,288.3,290
2026-04-13,160,123539,295.8,295.8,288,290.3
2026-04-15,208,368792,294.5,301.9,293,300.4
2026-04-16,177,213567,295,302,292,293
2026-04-17,165,144389,298.8,298.8,288.3,291.9
2026-04-20,142,109453,295,295,286.8,288.9
2026-04-21,121,170347,278,290,278,282
2026-04-22,159,197828,280,286.5,277,284.8
2026-04-23,135,148677,284.79,286,279,279.9
2026-04-24,130,144437,276,281.1,273,280
2026-04-27,131,88438,280.1,285,280,283
2026-04-28,114,85880,288.9,288.9,280,281
2026-04-29,97,78511,277,282.8,277,277.7
