hour_np,bars,volume,open,high,low,close
2026-03-29 14:00,1,11273,304.1,304.1,304,304.1
2026-03-30 11:00,55,144066,304,306,294.1,305
2026-03-30 12:00,48,69601,305,307.8,302.1,304.1
2026-03-30 13:00,43,76230,304.1,306.9,299.5,300
2026-03-30 14:00,57,220546,300,300,294,296
2026-03-31 11:00,49,73893,298.2,299.9,290.1,290.4
2026-03-31 12:00,50,67196,290.4,294,289,292
2026-03-31 13:00,45,66016,292,296.5,290.3,293
2026-03-31 14:00,51,78438,293,299.5,293,298
2026-04-01 11:00,55,71650,298,298,291.5,292
2026-04-01 12:00,43,31174,292,294,291,291.7
2026-04-01 13:00,51,96378,291.7,293,288,288.1
2026-04-01 14:00,59,210351,288.1,291,284,285
2026-04-02 11:00,57,143999,285,288.9,280,285.5
2026-04-02 12:00,46,85526,285.5,290.7,285,290.6
2026-04-02 13:00,52,112750,290.6,292,287.5,288
2026-04-02 14:00,51,79809,288,289.8,284,285.1
2026-04-05 11:00,56,106402,280.2,280.2,275.1,277
2026-04-05 12:00,51,94084,277,280,275.3,276.1
2026-04-05 13:00,55,111759,276.1,277.7,274,277.7
2026-04-05 14:00,52,152492,277.7,277.7,270.6,271
2026-04-06 11:00,57,94906,271,281.6,270,281.6
2026-04-06 12:00,49,38803,281.6,281.6,276.5,279
2026-04-06 13:00,43,50905,279,283,277.1,282.1
2026-04-06 14:00,59,145613,282.1,290,278,286
2026-04-07 11:00,58,94114,291.7,292,287,288
2026-04-07 12:00,50,49288,288,289,285.1,286.2
2026-04-07 13:00,39,20246,286.2,289.3,285.6,287.1
2026-04-07 14:00,47,46968,287.1,288,284.3,285
2026-04-08 11:00,35,47491,288,290,286.5,287
2026-04-08 12:00,36,53034,287,290,287,290
2026-04-08 13:00,43,53651,290,291,287.4,288
2026-04-08 14:00,49,84889,288,289.9,287.1,289.9
2026-04-09 11:00,45,25138,293.6,294.9,290,293
2026-04-09 12:00,44,27915,293,293.9,291,293.7
2026-04-09 13:00,45,50478,293.7,295.8,293,295.7
2026-04-09 14:00,52,95779,295.7,297,294,295
2026-04-10 11:00,35,32118,297.5,297.5,292.2,295.5
2026-04-10 12:00,52,106865,295.5,297,288.3,290
2026-04-10 13:00,29,44035,290,294.1,289,291.5
2026-04-10 14:00,41,65428,291.5,293,289,290
2026-04-13 11:00,46,21740,295.8,295.8,288,291.2
2026-04-13 12:00,44,34566,291.2,293.1,291,291
2026-04-13 13:00,39,24849,291,293,290,291
2026-04-13 14:00,31,42384,291,292.7,290,290.3
2026-04-15 11:00,49,69504,294.5,299.8,293,298.6
2026-04-15 12:00,56,107896,298.6,301.9,296,299.1
2026-04-15 13:00,52,82476,299.1,301.5,299,300
2026-04-15 14:00,51,108916,300,300.6,298.1,300.4
2026-04-16 11:00,49,58596,295,302,295,298
2026-04-16 12:00,35,31917,298,299,294,295
2026-04-16 13:00,46,46851,295,296,292,292.5
2026-04-16 14:00,47,76203,292.5,295,292.1,293
2026-04-17 11:00,35,33925,298.8,298.8,288.3,290.1
2026-04-17 12:00,44,42900,290.1,293.1,288.3,289.4
2026-04-17 13:00,38,16024,289.4,293.1,289.1,291
2026-04-17 14:00,48,51540,291,294.8,290,291.9
2026-04-20 11:00,34,31052,295,295,287,287
2026-04-20 12:00,41,28691,287,288,286.8,288
2026-04-20 13:00,30,9972,288,288.7,287.2,287.8
2026-04-20 14:00,37,39738,287.8,289,287,288.9
2026-04-21 11:00,34,20199,278,290,278,285
2026-04-21 12:00,19,20007,285,286.4,284.1,284.1
2026-04-21 13:00,27,18618,284.1,287,284.1,285.2
2026-04-21 14:00,41,111523,285.2,286,282,282
2026-04-22 11:00,50,48831,280,282,278,278.3
2026-04-22 12:00,40,44876,278.3,279.9,277,279
2026-04-22 13:00,30,24100,279,279.9,277.1,277.5
2026-04-22 14:00,39,80021,277.5,286.5,277.5,284.8
2026-04-23 11:00,38,33144,284.79,286,280,280.1
2026-04-23 12:00,31,60394,280.1,282.8,279,282.8
2026-04-23 13:00,30,22486,282.8,283.8,280,281
2026-04-23 14:00,36,32653,281,282.9,279.3,279.9
2026-04-24 11:00,41,86430,276,279.9,273,279.9
2026-04-24 12:00,34,22991,279.9,281.1,277.9,278.5
2026-04-24 13:00,21,10665,278.5,280.9,278.2,279.1
2026-04-24 14:00,34,24351,279.1,280.7,279.1,280
2026-04-27 11:00,37,12730,280.1,285,280,282.9
2026-04-27 12:00,23,7376,282.9,283,281,282
2026-04-27 13:00,31,25950,282,285,281.5,284
2026-04-27 14:00,40,42382,284,284.8,282.1,283
2026-04-28 11:00,29,13257,288.9,288.9,282.1,285.5
2026-04-28 12:00,28,7260,285.5,286.4,283,284
2026-04-28 13:00,18,17918,284,284,282,283.5
2026-04-28 14:00,39,47445,283.5,283.5,280,281
2026-04-29 11:00,22,15833,277,282.8,277,279
2026-04-29 12:00,20,10920,279,280.9,277.1,279
2026-04-29 13:00,20,13012,279,280,278.5,279.1
2026-04-29 14:00,35,38746,279.1,279.9,277.6,277.7
