symbol,resolution,ts,datetime_np,date_np,open,high,low,close,volume
AKPL,1min,1774775699,2026-03-29 14:59,2026-03-29,292,292,291.6,291.9,6192
AKPL,1min,1774847810,2026-03-30 11:01,2026-03-30,292.1,292.1,292.1,292.1,1335
AKPL,1min,1774847875,2026-03-30 11:02,2026-03-30,292.1,293,292.1,293,600
AKPL,1min,1774847934,2026-03-30 11:03,2026-03-30,293,293,292.1,292.1,720
AKPL,1min,1774847989,2026-03-30 11:04,2026-03-30,292.1,292.1,290,290,3605
AKPL,1min,1774848030,2026-03-30 11:05,2026-03-30,290,290,288,288,8200
AKPL,1min,1774848109,2026-03-30 11:06,2026-03-30,288,290,286.1,288,5121
AKPL,1min,1774848177,2026-03-30 11:07,2026-03-30,288,289,287,289,285
AKPL,1min,1774848209,2026-03-30 11:08,2026-03-30,289,289,286.3,286.3,1000
AKPL,1min,1774848295,2026-03-30 11:09,2026-03-30,286.3,289.7,286.3,288,640
AKPL,1min,1774848351,2026-03-30 11:10,2026-03-30,288,288,286.7,288,1190
AKPL,1min,1774848378,2026-03-30 11:11,2026-03-30,288,288,287,287,1100
AKPL,1min,1774848473,2026-03-30 11:12,2026-03-30,287,288,287,288,3150
AKPL,1min,1774848533,2026-03-30 11:13,2026-03-30,288,289,288,289,1281
AKPL,1min,1774848583,2026-03-30 11:14,2026-03-30,289,290,289,289.6,3669
AKPL,1min,1774848653,2026-03-30 11:15,2026-03-30,289.6,291,289,291,9397
AKPL,1min,1774848707,2026-03-30 11:16,2026-03-30,291,292,291,292,4090
AKPL,1min,1774848824,2026-03-30 11:18,2026-03-30,292,293,292,293,2091
AKPL,1min,1774848850,2026-03-30 11:19,2026-03-30,293,293,292.1,292.1,1000
AKPL,1min,1774848946,2026-03-30 11:20,2026-03-30,292.1,294,292.1,293,3401
AKPL,1min,1774849008,2026-03-30 11:21,2026-03-30,293,295,293,294,1125
AKPL,1min,1774849022,2026-03-30 11:22,2026-03-30,294,294,294,294,689
AKPL,1min,1774849134,2026-03-30 11:23,2026-03-30,294,294.9,293.2,293.2,270
AKPL,1min,1774849179,2026-03-30 11:24,2026-03-30,293.2,294,293,293,833
AKPL,1min,1774849284,2026-03-30 11:26,2026-03-30,293,293,293,293,4030
AKPL,1min,1774849344,2026-03-30 11:27,2026-03-30,293,294,293,294,2000
AKPL,1min,1774849439,2026-03-30 11:28,2026-03-30,294,294,292,292,5709
AKPL,1min,1774849458,2026-03-30 11:29,2026-03-30,292,292,291.1,291.1,51
AKPL,1min,1774849526,2026-03-30 11:30,2026-03-30,291.1,292,291,291,3200
AKPL,1min,1774849614,2026-03-30 11:31,2026-03-30,291,291,289.1,289.1,6387
AKPL,1min,1774849646,2026-03-30 11:32,2026-03-30,289.1,290,289.1,290,0
AKPL,1min,1774849694,2026-03-30 11:33,2026-03-30,290,290,290,290,120
AKPL,1min,1774849821,2026-03-30 11:35,2026-03-30,290,290,290,290,2932
AKPL,1min,1774849892,2026-03-30 11:36,2026-03-30,290,290,290,290,1289
AKPL,1min,1774849943,2026-03-30 11:37,2026-03-30,290,290.9,290,290.9,235
AKPL,1min,1774849992,2026-03-30 11:38,2026-03-30,290.9,290.9,290.8,290.8,0
AKPL,1min,1774850077,2026-03-30 11:39,2026-03-30,290.8,290.8,290,290,876
AKPL,1min,1774850151,2026-03-30 11:40,2026-03-30,290,290.2,290,290.2,2800
AKPL,1min,1774850195,2026-03-30 11:41,2026-03-30,290.2,290.2,289,290,1846
AKPL,1min,1774850338,2026-03-30 11:43,2026-03-30,290,290,289,289,1900
AKPL,1min,1774850361,2026-03-30 11:44,2026-03-30,289,289,289,289,67
AKPL,1min,1774850470,2026-03-30 11:46,2026-03-30,289,289,288.1,288.1,810
AKPL,1min,1774850564,2026-03-30 11:47,2026-03-30,288.1,290,288.1,290,600
AKPL,1min,1774850635,2026-03-30 11:48,2026-03-30,290,290.8,290,290,3211
AKPL,1min,1774850684,2026-03-30 11:49,2026-03-30,290,291,290,290,4447
AKPL,1min,1774850727,2026-03-30 11:50,2026-03-30,290,290.5,290,290.5,300
AKPL,1min,1774850779,2026-03-30 11:51,2026-03-30,290.5,291,290.5,291,1195
AKPL,1min,1774850870,2026-03-30 11:52,2026-03-30,291,291.8,291,291,635
AKPL,1min,1774850924,2026-03-30 11:53,2026-03-30,291,291,290,290,7060
AKPL,1min,1774850940,2026-03-30 11:54,2026-03-30,290,290.1,290,290.1,30
AKPL,1min,1774851080,2026-03-30 11:56,2026-03-30,290.1,291.8,290.1,291.8,17
AKPL,1min,1774851174,2026-03-30 11:57,2026-03-30,291.8,291.8,291,291,1346
AKPL,1min,1774851224,2026-03-30 11:58,2026-03-30,291,291.7,291,291.7,160
AKPL,1min,1774851279,2026-03-30 11:59,2026-03-30,291.7,291.8,291.2,291.8,7196
AKPL,1min,1774851343,2026-03-30 12:00,2026-03-30,291.8,291.8,291.8,291.8,164
AKPL,1min,1774851377,2026-03-30 12:01,2026-03-30,291.8,291.8,291.8,291.8,3600
AKPL,1min,1774851468,2026-03-30 12:02,2026-03-30,291.8,292,291.7,291.7,540
AKPL,1min,1774851528,2026-03-30 12:03,2026-03-30,291.7,292,291.7,292,937
AKPL,1min,1774851597,2026-03-30 12:04,2026-03-30,292,292.9,292,292.9,1000
AKPL,1min,1774851715,2026-03-30 12:06,2026-03-30,292.9,293,292.9,293,1525
AKPL,1min,1774851769,2026-03-30 12:07,2026-03-30,293,293,293,293,551
AKPL,1min,1774851837,2026-03-30 12:08,2026-03-30,293,293.8,293,293.8,1270
AKPL,1min,1774851889,2026-03-30 12:09,2026-03-30,293.8,293.8,293.5,293.5,100
AKPL,1min,1774852015,2026-03-30 12:11,2026-03-30,293.5,293.9,293.5,293.9,60
AKPL,1min,1774852034,2026-03-30 12:12,2026-03-30,293.9,294,293.9,294,1230
AKPL,1min,1774852090,2026-03-30 12:13,2026-03-30,294,294,294,294,345
AKPL,1min,1774852173,2026-03-30 12:14,2026-03-30,294,294.5,294,294,1975
AKPL,1min,1774852248,2026-03-30 12:15,2026-03-30,294,294,294,294,1436
AKPL,1min,1774852277,2026-03-30 12:16,2026-03-30,294,294,294,294,75
AKPL,1min,1774852365,2026-03-30 12:17,2026-03-30,294,294.9,294,294.9,3300
AKPL,1min,1774852409,2026-03-30 12:18,2026-03-30,294.9,294.9,294.9,294.9,1650
AKPL,1min,1774852494,2026-03-30 12:19,2026-03-30,294.9,295,294.9,295,1665
AKPL,1min,1774852551,2026-03-30 12:20,2026-03-30,295,295,294.9,294.9,1310
AKPL,1min,1774852579,2026-03-30 12:21,2026-03-30,294.9,294.9,294.9,294.9,427
AKPL,1min,1774852656,2026-03-30 12:22,2026-03-30,294.9,294.9,294.2,294.2,573
AKPL,1min,1774852730,2026-03-30 12:23,2026-03-30,294.2,294.2,294,294,150
AKPL,1min,1774852804,2026-03-30 12:25,2026-03-30,294,294.5,294,294.5,500
AKPL,1min,1774852904,2026-03-30 12:26,2026-03-30,294.5,294.5,294.2,294.2,43
AKPL,1min,1774852974,2026-03-30 12:27,2026-03-30,294.2,294.9,294.2,294.9,200
AKPL,1min,1774853038,2026-03-30 12:28,2026-03-30,294.9,294.9,294.5,294.5,1170
AKPL,1min,1774853088,2026-03-30 12:29,2026-03-30,294.5,295,294.5,295,2200
AKPL,1min,1774853154,2026-03-30 12:30,2026-03-30,295,295.1,295,295.1,6411
AKPL,1min,1774853169,2026-03-30 12:31,2026-03-30,295.1,295.1,295,295,500
AKPL,1min,1774853278,2026-03-30 12:32,2026-03-30,295,295,293.5,293.5,2000
AKPL,1min,1774853344,2026-03-30 12:34,2026-03-30,293.5,295,293.5,295,250
AKPL,1min,1774853439,2026-03-30 12:35,2026-03-30,295,295,293.1,293.1,3500
AKPL,1min,1774853483,2026-03-30 12:36,2026-03-30,293.1,294.7,293.1,293.1,1250
AKPL,1min,1774853538,2026-03-30 12:37,2026-03-30,293.1,293.1,293.1,293.1,250
AKPL,1min,1774853621,2026-03-30 12:38,2026-03-30,293.1,293.1,293.1,293.1,39
AKPL,1min,1774853674,2026-03-30 12:39,2026-03-30,293.1,293.1,293.1,293.1,1085
AKPL,1min,1774853741,2026-03-30 12:40,2026-03-30,293.1,293.1,292.2,292.2,7000
AKPL,1min,1774853766,2026-03-30 12:41,2026-03-30,292.2,292.2,292.2,292.2,800
AKPL,1min,1774853856,2026-03-30 12:42,2026-03-30,292.2,292.2,292,292,2650
AKPL,1min,1774853896,2026-03-30 12:43,2026-03-30,292,292,292,292,0
AKPL,1min,1774854035,2026-03-30 12:45,2026-03-30,292,292,292,292,2262
AKPL,1min,1774854102,2026-03-30 12:46,2026-03-30,292,292,291.9,291.9,510
AKPL,1min,1774854169,2026-03-30 12:47,2026-03-30,291.9,291.9,291,291,1165
AKPL,1min,1774854227,2026-03-30 12:48,2026-03-30,291,291.1,291,291.1,370
AKPL,1min,1774854290,2026-03-30 12:49,2026-03-30,291.1,291.9,291.1,291.9,443
AKPL,1min,1774854349,2026-03-30 12:50,2026-03-30,291.9,292,291.9,292,550
AKPL,1min,1774854402,2026-03-30 12:51,2026-03-30,292,292,292,292,450
AKPL,1min,1774854498,2026-03-30 12:53,2026-03-30,292,292,292,292,200
AKPL,1min,1774854560,2026-03-30 12:54,2026-03-30,292,292.5,292,292.5,130
AKPL,1min,1774854682,2026-03-30 12:56,2026-03-30,292.5,292.5,292,292,0
AKPL,1min,1774854748,2026-03-30 12:57,2026-03-30,292,292,291.9,291.9,1500
AKPL,1min,1774854994,2026-03-30 13:01,2026-03-30,291.9,292.1,291.9,292.1,447
AKPL,1min,1774855106,2026-03-30 13:03,2026-03-30,292.1,293,292.1,293,500
AKPL,1min,1774855164,2026-03-30 13:04,2026-03-30,293,293,292.3,292.3,519
AKPL,1min,1774855241,2026-03-30 13:05,2026-03-30,292.3,293.8,292.3,293.8,2088
AKPL,1min,1774855309,2026-03-30 13:06,2026-03-30,293.8,293.8,293,293,2267
AKPL,1min,1774855387,2026-03-30 13:08,2026-03-30,293,293,293,293,2788
AKPL,1min,1774855608,2026-03-30 13:11,2026-03-30,293,293,293,293,1680
AKPL,1min,1774855758,2026-03-30 13:14,2026-03-30,293,293.1,293,293.1,100
AKPL,1min,1774855854,2026-03-30 13:15,2026-03-30,293.1,293.1,293,293,1050
AKPL,1min,1774855884,2026-03-30 13:16,2026-03-30,293,293,292,292,9102
AKPL,1min,1774855976,2026-03-30 13:17,2026-03-30,292,293,292,293,450
AKPL,1min,1774856034,2026-03-30 13:18,2026-03-30,293,293,291.9,291.9,1305
AKPL,1min,1774856048,2026-03-30 13:19,2026-03-30,291.9,292,291.9,292,457
AKPL,1min,1774856218,2026-03-30 13:21,2026-03-30,292,292,292,292,1000
AKPL,1min,1774856277,2026-03-30 13:22,2026-03-30,292,292.5,292,292,2071
AKPL,1min,1774856422,2026-03-30 13:25,2026-03-30,292,292,291.2,291.2,1500
AKPL,1min,1774856475,2026-03-30 13:26,2026-03-30,291.2,291.4,291.2,291.2,2505
AKPL,1min,1774856565,2026-03-30 13:27,2026-03-30,291.2,291.2,291.1,291.1,3820
AKPL,1min,1774856636,2026-03-30 13:28,2026-03-30,291.1,291.2,291.1,291.2,573
AKPL,1min,1774856688,2026-03-30 13:29,2026-03-30,291.2,291.2,291,291,3416
AKPL,1min,1774856740,2026-03-30 13:30,2026-03-30,291,291,290.6,291,522
AKPL,1min,1774856819,2026-03-30 13:31,2026-03-30,291,291,290,290,12800
AKPL,1min,1774856832,2026-03-30 13:32,2026-03-30,290,290,289.1,289.1,1000
AKPL,1min,1774856899,2026-03-30 13:33,2026-03-30,289.1,291,289.1,291,0
AKPL,1min,1774857165,2026-03-30 13:37,2026-03-30,291,291,289.6,289.6,126
AKPL,1min,1774857232,2026-03-30 13:38,2026-03-30,289.6,289.6,289.6,289.6,200
AKPL,1min,1774857266,2026-03-30 13:39,2026-03-30,289.6,290,289.6,290,315
AKPL,1min,1774857331,2026-03-30 13:40,2026-03-30,290,290,290,290,0
AKPL,1min,1774857400,2026-03-30 13:41,2026-03-30,290,290.9,290,290.9,295
AKPL,1min,1774857482,2026-03-30 13:43,2026-03-30,290.9,290.9,290,290,0
