symbol,resolution,ts,datetime_np,date_np,open,high,low,close,volume
API,1min,1774775699,2026-03-29 14:59,2026-03-29,353.5,357,353.5,356,37482
API,1min,1774847700,2026-03-30 11:00,2026-03-30,355,355,355,355,250
API,1min,1774847805,2026-03-30 11:01,2026-03-30,355,355,352,352,6935
API,1min,1774847872,2026-03-30 11:02,2026-03-30,352,355,351,355,11728
API,1min,1774847933,2026-03-30 11:03,2026-03-30,355,355,351.1,351.5,4725
API,1min,1774847996,2026-03-30 11:04,2026-03-30,351.5,352,351.2,352,3119
API,1min,1774848056,2026-03-30 11:05,2026-03-30,352,352,352,352,3190
API,1min,1774848116,2026-03-30 11:06,2026-03-30,352,352.1,352,352,6819
API,1min,1774848174,2026-03-30 11:07,2026-03-30,352,352.2,352,352.1,5993
API,1min,1774848220,2026-03-30 11:08,2026-03-30,352.1,352.1,352,352,6001
API,1min,1774848288,2026-03-30 11:09,2026-03-30,352,352,351.9,351.9,15766
API,1min,1774848350,2026-03-30 11:10,2026-03-30,351.9,352,351.1,351.1,13104
API,1min,1774848407,2026-03-30 11:11,2026-03-30,351.1,351.9,350.8,350.8,17179
API,1min,1774848471,2026-03-30 11:12,2026-03-30,350.8,351.5,350.8,351.1,8350
API,1min,1774848505,2026-03-30 11:13,2026-03-30,351.1,352.1,351.1,352.1,15245
API,1min,1774848588,2026-03-30 11:14,2026-03-30,352.1,352.9,352,352.2,10162
API,1min,1774848656,2026-03-30 11:15,2026-03-30,352.2,353,352.1,353,5814
API,1min,1774848699,2026-03-30 11:16,2026-03-30,353,354,353,354,1744
API,1min,1774848767,2026-03-30 11:17,2026-03-30,354,354,354,354,3821
API,1min,1774848825,2026-03-30 11:18,2026-03-30,354,355,354,354,17321
API,1min,1774848898,2026-03-30 11:19,2026-03-30,354,354,354,354,2010
API,1min,1774848937,2026-03-30 11:20,2026-03-30,354,354.5,354,354.5,921
API,1min,1774849018,2026-03-30 11:21,2026-03-30,354.5,355.5,354.5,355.5,6501
API,1min,1774849076,2026-03-30 11:22,2026-03-30,355.5,356,355,356,3861
API,1min,1774849132,2026-03-30 11:23,2026-03-30,356,357,356,357,1303
API,1min,1774849188,2026-03-30 11:24,2026-03-30,357,358,356.1,356.2,8305
API,1min,1774849239,2026-03-30 11:25,2026-03-30,356.2,357,356.2,356.5,838
API,1min,1774849296,2026-03-30 11:26,2026-03-30,356.5,358.9,356.5,357,4850
API,1min,1774849367,2026-03-30 11:27,2026-03-30,357,358,357,357.1,2221
API,1min,1774849431,2026-03-30 11:28,2026-03-30,357.1,358,356,356,7345
API,1min,1774849497,2026-03-30 11:29,2026-03-30,356,356,353.2,354,6499
API,1min,1774849541,2026-03-30 11:30,2026-03-30,354,354,353,353,1841
API,1min,1774849611,2026-03-30 11:31,2026-03-30,353,353,352.9,353,1282
API,1min,1774849671,2026-03-30 11:32,2026-03-30,353,353,352.4,352.4,1602
API,1min,1774849731,2026-03-30 11:33,2026-03-30,352.4,353,352.3,353,3960
API,1min,1774849786,2026-03-30 11:34,2026-03-30,353,353,353,353,2090
API,1min,1774849838,2026-03-30 11:35,2026-03-30,353,354,352.3,352.3,7755
API,1min,1774849910,2026-03-30 11:36,2026-03-30,352.3,353,352.3,353,272
API,1min,1774849979,2026-03-30 11:37,2026-03-30,353,353,352.5,352.6,450
API,1min,1774850038,2026-03-30 11:38,2026-03-30,352.6,353,352.6,353,885
API,1min,1774850097,2026-03-30 11:39,2026-03-30,353,353.2,353,353.2,429
API,1min,1774850152,2026-03-30 11:40,2026-03-30,353.2,354,353.2,353.2,740
API,1min,1774850210,2026-03-30 11:41,2026-03-30,353.2,353.2,353.1,353.1,1279
API,1min,1774850308,2026-03-30 11:43,2026-03-30,353.1,353.2,353.1,353.2,650
API,1min,1774850395,2026-03-30 11:44,2026-03-30,353.2,354,353.2,353.4,1164
API,1min,1774850479,2026-03-30 11:46,2026-03-30,353.4,354,353.4,354,393
API,1min,1774850576,2026-03-30 11:47,2026-03-30,354,354,354,354,1246
API,1min,1774850638,2026-03-30 11:48,2026-03-30,354,355,354,355,2500
API,1min,1774850683,2026-03-30 11:49,2026-03-30,355,355,355,355,5170
API,1min,1774850743,2026-03-30 11:50,2026-03-30,355,355.1,355,355.1,266
API,1min,1774850803,2026-03-30 11:51,2026-03-30,355.1,355.1,355.1,355.1,100
API,1min,1774850866,2026-03-30 11:52,2026-03-30,355.1,355.9,355,355,1968
API,1min,1774850938,2026-03-30 11:53,2026-03-30,355,356,355,355,512
API,1min,1774850981,2026-03-30 11:54,2026-03-30,355,356,355,355.1,1965
API,1min,1774851021,2026-03-30 11:55,2026-03-30,355.1,356.5,355.1,356.5,217
API,1min,1774851165,2026-03-30 11:57,2026-03-30,356.5,356.5,356,356.5,1910
API,1min,1774851222,2026-03-30 11:58,2026-03-30,356.5,356.9,356,356,2091
API,1min,1774851296,2026-03-30 11:59,2026-03-30,356,356.1,356,356,3035
API,1min,1774851347,2026-03-30 12:00,2026-03-30,356,356.9,356,356,1401
API,1min,1774851414,2026-03-30 12:01,2026-03-30,356,358,356,358,8617
API,1min,1774851453,2026-03-30 12:02,2026-03-30,358,358,357,357,1249
API,1min,1774851504,2026-03-30 12:03,2026-03-30,357,357,357,357,153
API,1min,1774851596,2026-03-30 12:04,2026-03-30,357,357,357,357,10
API,1min,1774851646,2026-03-30 12:05,2026-03-30,357,357.9,357,357,800
API,1min,1774851680,2026-03-30 12:06,2026-03-30,357,357.9,357,357.9,131
API,1min,1774851733,2026-03-30 12:07,2026-03-30,357.9,357.9,357,357,3000
API,1min,1774851813,2026-03-30 12:08,2026-03-30,357,357,357,357,1479
API,1min,1774851872,2026-03-30 12:09,2026-03-30,357,357,356.5,357,1878
API,1min,1774851921,2026-03-30 12:10,2026-03-30,357,357,356.2,356.2,90
API,1min,1774851977,2026-03-30 12:11,2026-03-30,356.2,357,356,357,1682
API,1min,1774852073,2026-03-30 12:12,2026-03-30,357,357.5,357,357.5,598
API,1min,1774852189,2026-03-30 12:14,2026-03-30,357.5,357.9,357,357.9,1155
API,1min,1774852249,2026-03-30 12:15,2026-03-30,357.9,357.9,357,357.1,2600
API,1min,1774852304,2026-03-30 12:16,2026-03-30,357.1,357.9,357.1,357.5,2375
API,1min,1774852379,2026-03-30 12:17,2026-03-30,357.5,358,357.4,358,1750
API,1min,1774852410,2026-03-30 12:18,2026-03-30,358,358,358,358,0
API,1min,1774852539,2026-03-30 12:20,2026-03-30,358,358,357.5,357.5,1009
API,1min,1774852604,2026-03-30 12:21,2026-03-30,357.5,357.9,357.5,357.9,5850
API,1min,1774852675,2026-03-30 12:22,2026-03-30,357.9,357.9,357.5,357.5,750
API,1min,1774852796,2026-03-30 12:24,2026-03-30,357.5,358,357.2,358,1100
API,1min,1774852821,2026-03-30 12:25,2026-03-30,358,358,358,358,140
API,1min,1774852872,2026-03-30 12:26,2026-03-30,358,358.8,357.9,358.8,11040
API,1min,1774852978,2026-03-30 12:27,2026-03-30,358.8,358.8,358,358,3168
API,1min,1774852999,2026-03-30 12:28,2026-03-30,358,359,358,359,2250
API,1min,1774853098,2026-03-30 12:29,2026-03-30,359,359,359,359,996
API,1min,1774853145,2026-03-30 12:30,2026-03-30,359,359.1,359,359.1,4751
API,1min,1774853192,2026-03-30 12:31,2026-03-30,359.1,359.2,359.1,359.2,130
API,1min,1774853274,2026-03-30 12:32,2026-03-30,359.2,359.2,359,359,8000
API,1min,1774853297,2026-03-30 12:33,2026-03-30,359,359,358,358,1017
API,1min,1774853385,2026-03-30 12:34,2026-03-30,358,358,357.1,358,3657
API,1min,1774853446,2026-03-30 12:35,2026-03-30,358,358,356.9,356.9,6897
API,1min,1774853509,2026-03-30 12:36,2026-03-30,356.9,356.9,356.2,356.2,1700
API,1min,1774853579,2026-03-30 12:37,2026-03-30,356.2,356.6,356.2,356.2,1649
API,1min,1774853614,2026-03-30 12:38,2026-03-30,356.2,356.6,356,356,1512
API,1min,1774853673,2026-03-30 12:39,2026-03-30,356,356.6,355.3,355.3,1787
API,1min,1774853708,2026-03-30 12:40,2026-03-30,355.3,355.3,355.3,355.3,120
API,1min,1774853794,2026-03-30 12:41,2026-03-30,355.3,356,355.1,355.1,2600
API,1min,1774853875,2026-03-30 12:42,2026-03-30,355.1,356,355.1,356,200
API,1min,1774853934,2026-03-30 12:43,2026-03-30,356,356,355.1,355.1,613
API,1min,1774853996,2026-03-30 12:44,2026-03-30,355.1,355.5,355.1,355.5,765
API,1min,1774854047,2026-03-30 12:45,2026-03-30,355.5,355.5,355.5,355.5,190
API,1min,1774854098,2026-03-30 12:46,2026-03-30,355.5,355.5,355.5,355.5,1760
API,1min,1774854206,2026-03-30 12:48,2026-03-30,355.5,356,355.5,356,320
API,1min,1774854291,2026-03-30 12:49,2026-03-30,356,356,356,356,500
API,1min,1774854310,2026-03-30 12:50,2026-03-30,356,356.2,356,356.2,3107
API,1min,1774854412,2026-03-30 12:51,2026-03-30,356.2,357,356.2,357,1330
API,1min,1774854572,2026-03-30 12:54,2026-03-30,357,357,357,357,200
API,1min,1774854657,2026-03-30 12:55,2026-03-30,357,357,356,356,50
API,1min,1774854739,2026-03-30 12:57,2026-03-30,356,356.1,356,356.1,510
API,1min,1774854837,2026-03-30 12:58,2026-03-30,356.1,357,356.1,357,75
API,1min,1774854858,2026-03-30 12:59,2026-03-30,357,357,356.1,356.1,100
API,1min,1774854950,2026-03-30 13:00,2026-03-30,356.1,357,356.1,357,0
API,1min,1774855028,2026-03-30 13:02,2026-03-30,357,357,356,356,2390
API,1min,1774855104,2026-03-30 13:03,2026-03-30,356,356,356,356,600
API,1min,1774855152,2026-03-30 13:04,2026-03-30,356,356,355.6,355.6,150
API,1min,1774855252,2026-03-30 13:05,2026-03-30,355.6,356,355.6,355.6,165
API,1min,1774855304,2026-03-30 13:06,2026-03-30,355.6,356,355.6,356,722
API,1min,1774855364,2026-03-30 13:07,2026-03-30,356,356,356,356,2050
API,1min,1774855438,2026-03-30 13:08,2026-03-30,356,356,355.7,355.7,173
API,1min,1774855466,2026-03-30 13:09,2026-03-30,355.7,355.7,355.7,355.7,20
API,1min,1774855535,2026-03-30 13:10,2026-03-30,355.7,355.7,355.1,355.1,11100
API,1min,1774855572,2026-03-30 13:11,2026-03-30,355.1,356.8,355.1,355.1,5020
API,1min,1774855657,2026-03-30 13:12,2026-03-30,355.1,355.1,355.1,355.1,0
API,1min,1774855730,2026-03-30 13:13,2026-03-30,355.1,355.2,355.1,355.2,1815
API,1min,1774855839,2026-03-30 13:15,2026-03-30,355.2,355.2,355.2,355.2,512
API,1min,1774855904,2026-03-30 13:16,2026-03-30,355.2,355.2,355.2,355.2,464
