date_np,bars,volume,open,high,low,close
2026-03-29,1,37482,353.5,357,353.5,356
2026-03-30,224,1092401,355,359.2,350,357.6
2026-03-31,237,1143683,364.7,364.7,346,358.1
2026-04-01,233,1304796,356.1,358.5,343.1,350
2026-04-02,221,787287,350,356.8,343,353
2026-04-05,237,979663,350.5,350.5,324.6,325
2026-04-06,227,936872,325,348,325,346
2026-04-07,200,428867,350,350.8,339.2,341.5
2026-04-08,195,472857,345,350,342,349
2026-04-09,224,740288,347,354.9,344,352.2
2026-04-10,210,571583,354,354,346,351
2026-04-13,189,382840,351,353.5,345.1,348.2
2026-04-15,217,568585,345,357.2,345,353.7
2026-04-16,213,511242,350,357,348.8,349.5
2026-04-17,187,303048,349.8,352,345.1,349
2026-04-20,172,223229,350,350,341.5,345
2026-04-21,179,241252,346.1,348,339,339.1
2026-04-22,188,383874,340,346.9,332,341
2026-04-23,162,189547,350,350,335,339.9
2026-04-24,151,255929,338,341,331.1,339.9
2026-04-27,157,206969,345,345,340,341
2026-04-28,167,308091,342.2,347,339,339.1
2026-04-29,148,197327,336.1,340.5,334,335.9
