hour_np,bars,volume,open,high,low,close
2026-03-29 14:00,1,37482,353.5,357,353.5,356
2026-03-30 11:00,57,247692,355,358.9,350.8,356
2026-03-30 12:00,53,98811,356,359.2,355.1,356.1
2026-03-30 13:00,54,149012,356.1,357,353.6,353.7
2026-03-30 14:00,60,596886,353.7,357.6,350,357.6
2026-03-31 11:00,60,335129,364.7,364.7,349.5,349.5
2026-03-31 12:00,60,333172,349.5,356,346,356
2026-03-31 13:00,59,172642,356,357.4,349.1,353
2026-03-31 14:00,58,302740,353,358.1,352.5,358.1
2026-04-01 11:00,57,191442,356.1,358.5,351,356
2026-04-01 12:00,58,145397,356,357,352.2,353
2026-04-01 13:00,58,342280,353,353.9,348.9,350
2026-04-01 14:00,60,625677,350,351.9,343.1,350
2026-04-02 11:00,59,264338,350,355,343,353.3
2026-04-02 12:00,50,171611,353.3,356.2,351,355
2026-04-02 13:00,52,84592,355,356.8,352.9,352.9
2026-04-02 14:00,60,266746,352.9,355.9,350,353
2026-04-05 11:00,60,328829,350.5,350.5,339,341
2026-04-05 12:00,59,223395,341,342.5,335,337
2026-04-05 13:00,59,215319,337,337.9,330,336.2
2026-04-05 14:00,59,212120,336.2,336.9,324.6,325
2026-04-06 11:00,60,436416,325,339,325,339
2026-04-06 12:00,58,148489,339,339.4,333.1,337.4
2026-04-06 13:00,50,137365,337.4,340.6,335,340.3
2026-04-06 14:00,59,214602,340.3,348,340.1,346
2026-04-07 11:00,56,152238,350,350.8,343.1,346
2026-04-07 12:00,56,114410,346,347,340,341.5
2026-04-07 13:00,38,43142,341.5,347,341,345
2026-04-07 14:00,50,119077,345,345,339.2,341.5
2026-04-08 11:00,52,74592,345,346.8,342,343
2026-04-08 12:00,47,102597,343,350,343,349.5
2026-04-08 13:00,48,139129,349.5,350,345,346
2026-04-08 14:00,48,156539,346,350,343,349
2026-04-09 11:00,53,117073,347,354.9,344,350.2
2026-04-09 12:00,57,145102,350.2,354.1,350,354
2026-04-09 13:00,57,161664,354,354.9,352.4,353
2026-04-09 14:00,57,316449,353,354.9,350,352.2
2026-04-10 11:00,49,121560,354,354,349,351
2026-04-10 12:00,54,160303,351,351,346,348
2026-04-10 13:00,54,149732,348,353.5,348,350.3
2026-04-10 14:00,53,139988,350.3,353,350,351
2026-04-13 11:00,51,77160,351,353,348.4,351.3
2026-04-13 12:00,44,78930,351.3,353.5,348.8,348.8
2026-04-13 13:00,44,90594,348.8,351,347.8,347.8
2026-04-13 14:00,50,136156,347.8,349.4,345.1,348.2
2026-04-15 11:00,50,60469,345,353.8,345,353.7
2026-04-15 12:00,59,183920,353.7,357.2,352.2,355.9
2026-04-15 13:00,57,145142,355.9,357,354,355.9
2026-04-15 14:00,51,179054,355.9,355.9,351.3,353.7
2026-04-16 11:00,53,152589,350,357,350,354.5
2026-04-16 12:00,50,88987,354.5,355.9,352.2,354.1
2026-04-16 13:00,58,147043,354.1,355.8,350.3,350.8
2026-04-16 14:00,52,122623,350.8,351.8,348.8,349.5
2026-04-17 11:00,42,47842,349.8,352,346.5,346.5
2026-04-17 12:00,52,52687,346.5,349,345.1,348
2026-04-17 13:00,40,33240,348,350,346,349.5
2026-04-17 14:00,53,169279,349.5,352,347,349
2026-04-20 11:00,47,72313,350,350,342,342.6
2026-04-20 12:00,39,33289,342.6,348,341.5,345
2026-04-20 13:00,37,29865,345,346.9,344,345.9
2026-04-20 14:00,49,87762,345.9,348.9,344,345
2026-04-21 11:00,45,30153,346.1,348,343,345
2026-04-21 12:00,40,31155,345,345.9,343.1,343.8
2026-04-21 13:00,44,31143,343.8,344.5,343.5,344.5
2026-04-21 14:00,50,148801,344.5,344.5,339,339.1
2026-04-22 11:00,51,93208,340,340,332,335.6
2026-04-22 12:00,52,100367,335.6,337.9,333.1,334
2026-04-22 13:00,38,49320,334,339.9,334,337
2026-04-22 14:00,47,140979,337,346.9,336,341
2026-04-23 11:00,51,44368,350,350,335,335
2026-04-23 12:00,27,24351,335,338.9,335,338.8
2026-04-23 13:00,38,26754,338.8,343,338.8,340.1
2026-04-23 14:00,46,94074,340.1,342.7,337.8,339.9
2026-04-24 11:00,39,63044,338,338,331.1,335
2026-04-24 12:00,38,77207,335,340,335,338
2026-04-24 13:00,34,48575,338,341,338,339
2026-04-24 14:00,40,67103,339,340.2,337.1,339.9
2026-04-27 11:00,45,56733,345,345,340,342
2026-04-27 12:00,30,20256,342,343.9,341.1,342.1
2026-04-27 13:00,42,47710,342.1,344.9,342,344
2026-04-27 14:00,40,82270,344,344.5,340.5,341
2026-04-28 11:00,49,116300,342.2,347,342,344.9
2026-04-28 12:00,43,34265,344.9,344.9,342.1,343
2026-04-28 13:00,25,43110,343,343.9,342.2,343
2026-04-28 14:00,50,114416,343,343.8,339,339.1
2026-04-29 11:00,33,36183,336.1,340.5,336,337
2026-04-29 12:00,36,34705,337,340,336.4,337.4
2026-04-29 13:00,33,24606,337.4,338,336.7,336.7
2026-04-29 14:00,46,101833,336.7,337.8,334,335.9
