symbol,resolution,ts,datetime_np,date_np,open,high,low,close,volume
BHCL,1min,1774775699,2026-03-29 14:59,2026-03-29,591,591,590.5,590.5,270
BHCL,1min,1774847749,2026-03-30 11:00,2026-03-30,582.1,582.1,582.1,582.1,10
BHCL,1min,1774847874,2026-03-30 11:02,2026-03-30,582.1,583.2,582.1,583.2,20
BHCL,1min,1774847921,2026-03-30 11:03,2026-03-30,583.2,584,583.2,584,60
BHCL,1min,1774847979,2026-03-30 11:04,2026-03-30,584,591,584,591,204
BHCL,1min,1774848104,2026-03-30 11:06,2026-03-30,591,591,585,585,1032
BHCL,1min,1774848138,2026-03-30 11:07,2026-03-30,585,585,585,585,10
BHCL,1min,1774848197,2026-03-30 11:08,2026-03-30,585,585.1,585,585.1,10
BHCL,1min,1774848286,2026-03-30 11:09,2026-03-30,585.1,585.2,585.1,585.2,10
BHCL,1min,1774848318,2026-03-30 11:10,2026-03-30,585.2,588,585.2,588,50
BHCL,1min,1774848445,2026-03-30 11:12,2026-03-30,588,590,588,590,325
BHCL,1min,1774848505,2026-03-30 11:13,2026-03-30,590,590,585.2,585.2,10
BHCL,1min,1774848580,2026-03-30 11:14,2026-03-30,585.2,586,585.2,586,30
BHCL,1min,1774848620,2026-03-30 11:15,2026-03-30,586,591,586,591,100
BHCL,1min,1774848751,2026-03-30 11:17,2026-03-30,591,591,587.5,587.5,10
BHCL,1min,1774848885,2026-03-30 11:19,2026-03-30,587.5,594,587.5,594,220
BHCL,1min,1774848952,2026-03-30 11:20,2026-03-30,594,594,588.2,588.2,20
BHCL,1min,1774849001,2026-03-30 11:21,2026-03-30,588.2,588.6,588.2,588.6,10
BHCL,1min,1774849038,2026-03-30 11:22,2026-03-30,588.6,591,588.6,591,100
BHCL,1min,1774849139,2026-03-30 11:23,2026-03-30,591,591,589,589,730
BHCL,1min,1774849182,2026-03-30 11:24,2026-03-30,589,590,589,590,120
BHCL,1min,1774849248,2026-03-30 11:25,2026-03-30,590,593,586,593,1040
BHCL,1min,1774849319,2026-03-30 11:26,2026-03-30,593,593.9,593,593.9,470
