date_np,bars,volume,open,high,low,close
2026-03-29,1,270,591,591,590.5,590.5
2026-03-30,198,40168,582.1,598,579.2,584.6
2026-03-31,176,37311,584.6,593,568,586
2026-04-01,156,37302,586,586,564.5,565.1
2026-04-02,161,28483,566,571.2,540,562
2026-04-05,199,58923,560,560,506.5,515
2026-04-06,156,44697,520,550.8,515,533
2026-04-07,159,21013,533,550,528,529.1
2026-04-08,183,54886,531,563,531,563
2026-04-09,179,71824,574,590,563.3,574
2026-04-10,165,49888,580,583,560,562
2026-04-13,178,33162,561.1,568.7,550,557
2026-04-15,173,37995,566,572.9,555,569
2026-04-16,148,27967,575,575,550,550.1
2026-04-17,150,37232,541,559.9,539.2,556
2026-04-20,177,34971,582,582,540.3,557
2026-04-21,185,36884,542,565,542,551
2026-04-22,165,46355,578,578,535,555.9
2026-04-23,163,26829,551,560,544.3,548
2026-04-24,131,18024,536,553.7,535,544
2026-04-27,171,20413,534,554,534,545
2026-04-28,163,21757,545,554.8,535,536.2
2026-04-29,177,19630,563,563,520,525
