hour_np,bars,volume,open,high,low,close
2026-03-29 14:00,1,270,591,591,590.5,590.5
2026-03-30 11:00,47,5856,582.1,594,582.1,589
2026-03-30 12:00,50,6161,589,598,589,593.2
2026-03-30 13:00,46,9087,593.2,595.9,584,584
2026-03-30 14:00,55,19064,584,585,579.2,584.6
2026-03-31 11:00,47,11292,584.6,593,570,571
2026-03-31 12:00,50,11458,571,588,568,588
2026-03-31 13:00,40,9534,588,590,581,581.1
2026-03-31 14:00,39,5027,581.1,589.6,581,586
2026-04-01 11:00,34,3567,586,586,579,580
2026-04-01 12:00,36,5860,580,580,574.3,576
2026-04-01 13:00,33,3026,576,576.1,571.3,573
2026-04-01 14:00,53,24849,573,574.8,564.5,565.1
2026-04-02 11:00,45,12520,566,571.2,540,563
2026-04-02 12:00,36,5105,563,564,557,564
2026-04-02 13:00,38,4911,564,570,560.2,560.2
2026-04-02 14:00,42,5947,560.2,567,556.1,562
2026-04-05 11:00,47,11778,560,560,545,546
2026-04-05 12:00,52,11938,546,550,529.1,532
2026-04-05 13:00,52,15613,532,533,506.5,520
2026-04-05 14:00,48,19594,520,520,508.2,515
2026-04-06 11:00,44,13000,520,550.8,515,533.1
2026-04-06 12:00,30,3513,533.1,533.1,524.3,528
2026-04-06 13:00,38,9468,528,532,524,532
2026-04-06 14:00,44,18716,532,544.5,526.1,533
2026-04-07 11:00,43,7038,533,550,530.1,538
2026-04-07 12:00,40,5709,538,540,530.1,531
2026-04-07 13:00,35,3242,531,540,530,534.1
2026-04-07 14:00,41,5024,534.1,535,528,529.1
2026-04-08 11:00,39,4685,531,538.8,531,533
2026-04-08 12:00,46,16530,533,558.7,533,557
2026-04-08 13:00,48,23840,557,562,545,556
2026-04-08 14:00,50,9831,556,563,554,563
2026-04-09 11:00,48,19884,574,586.5,563.3,583
2026-04-09 12:00,48,34005,583,590,571,581
2026-04-09 13:00,36,5046,581,583,574,574.5
2026-04-09 14:00,47,12889,574.5,579,572.1,574
2026-04-10 11:00,34,8489,580,583,571,575
2026-04-10 12:00,45,14412,575,575,560,563.1
2026-04-10 13:00,41,10652,563.1,573.9,563.1,566
2026-04-10 14:00,45,16335,566,569,560,562
2026-04-13 11:00,44,5586,561.1,568.7,555.1,558.1
2026-04-13 12:00,42,8128,558.1,565,551,551
2026-04-13 13:00,47,7131,551,556.5,550,553.8
2026-04-13 14:00,45,12317,553.8,557.7,551,557
2026-04-15 11:00,37,6974,566,566,555,566
2026-04-15 12:00,46,7037,566,570,561,566
2026-04-15 13:00,44,8587,566,572.9,563.2,570
2026-04-15 14:00,46,15397,570,571.8,560.1,569
2026-04-16 11:00,41,3619,575,575,556,560
2026-04-16 12:00,35,5478,560,563,552.2,557
2026-04-16 13:00,32,3569,557,557.1,553.3,555.1
2026-04-16 14:00,40,15301,555.1,555.1,550,550.1
2026-04-17 11:00,35,4265,541,559.9,541,546.2
2026-04-17 12:00,43,8509,546.2,548,539.2,539.2
2026-04-17 13:00,34,7476,539.2,548,539.2,543
2026-04-17 14:00,38,16982,543,558.9,542.6,556
2026-04-20 11:00,49,4578,582,582,540.3,548
2026-04-20 12:00,35,1575,548,554,548,549.3
2026-04-20 13:00,43,1999,549.3,554.3,549,550
2026-04-20 14:00,50,26819,550,567,550,557
2026-04-21 11:00,52,6476,542,561,542,557
2026-04-21 12:00,37,900,557,557,551.6,555
2026-04-21 13:00,47,14654,555,565,553,561
2026-04-21 14:00,49,14854,561,561,548,551
2026-04-22 11:00,44,4950,578,578,544,546.1
2026-04-22 12:00,44,17074,546.1,546.1,535,541.3
2026-04-22 13:00,33,4719,541.3,549,541.3,542
2026-04-22 14:00,44,19612,542,561,542,555.9
2026-04-23 11:00,40,5796,551,555,544.3,545
2026-04-23 12:00,41,3362,545,555,544.4,555
2026-04-23 13:00,36,5244,555,560,550,551.1
2026-04-23 14:00,46,12427,551.1,551.1,546,548
2026-04-24 11:00,33,5088,536,545,535,542
2026-04-24 12:00,36,4379,542,553.7,540.2,542
2026-04-24 13:00,27,745,542,545.9,542,543
2026-04-24 14:00,35,7812,543,547.9,541.3,544
2026-04-27 11:00,44,3160,534,554,534,545.5
2026-04-27 12:00,42,1577,545.5,549,545.5,548
2026-04-27 13:00,42,6218,548,551,546,548
2026-04-27 14:00,43,9458,548,548,541,545
2026-04-28 11:00,43,1590,545,554.8,540,543.3
2026-04-28 12:00,47,3525,543.3,550,543.3,544.5
2026-04-28 13:00,28,6626,544.5,544.5,539.5,539.5
2026-04-28 14:00,45,10016,539.5,542,535,536.2
2026-04-29 11:00,51,4055,563,563,520,527.1
2026-04-29 12:00,44,3457,527.1,534.4,526.5,527.3
2026-04-29 13:00,36,1923,527.3,530,527.3,527.5
2026-04-29 14:00,46,10195,527.5,530,520,525
