"symbol","resolution","timestamp_utc","volume"
"BHL","1D","2026-03-23T00:00:00.0000000Z","697495"
"BHL","1D","2026-03-24T00:00:00.0000000Z","420044"
"BHL","1D","2026-03-25T00:00:00.0000000Z","672166"
"BHL","1D","2026-03-26T00:00:00.0000000Z","519966"
"BHL","1D","2026-03-29T00:00:00.0000000Z","857803"
"BHL","1D","2026-03-30T00:00:00.0000000Z","823022"
"BHL","1D","2026-03-31T00:00:00.0000000Z","790721"
"BHL","1D","2026-04-01T00:00:00.0000000Z","566393"
"BHL","1D","2026-04-02T00:00:00.0000000Z","656967"
"BHL","1D","2026-04-05T00:00:00.0000000Z","674099"
"BHL","1D","2026-04-06T00:00:00.0000000Z","632959"
"BHL","1D","2026-04-07T00:00:00.0000000Z","514549"
"BHL","1D","2026-04-08T00:00:00.0000000Z","251524"
"BHL","1D","2026-04-09T00:00:00.0000000Z","496108"
"BHL","1D","2026-04-10T00:00:00.0000000Z","368735"
"BHL","1D","2026-04-13T00:00:00.0000000Z","338493"
"BHL","1D","2026-04-15T00:00:00.0000000Z","505034"
"BHL","1D","2026-04-16T00:00:00.0000000Z","376748"
"BHL","1D","2026-04-17T00:00:00.0000000Z","279123"
"BHL","1D","2026-04-20T00:00:00.0000000Z","191118"
"BHL","1D","2026-04-21T00:00:00.0000000Z","251540"
