"symbol","resolution","timestamp_utc","volume"
"BHL","1H_derived_from_1m","2026-03-22T09:00:00.0000000Z","25235"
"BHL","1H_derived_from_1m","2026-03-23T06:00:00.0000000Z","345938"
"BHL","1H_derived_from_1m","2026-03-23T07:00:00.0000000Z","114311"
"BHL","1H_derived_from_1m","2026-03-23T08:00:00.0000000Z","100857"
"BHL","1H_derived_from_1m","2026-03-23T09:00:00.0000000Z","136389"
"BHL","1H_derived_from_1m","2026-03-24T05:00:00.0000000Z","91007"
"BHL","1H_derived_from_1m","2026-03-24T06:00:00.0000000Z","81622"
"BHL","1H_derived_from_1m","2026-03-24T07:00:00.0000000Z","63339"
"BHL","1H_derived_from_1m","2026-03-24T08:00:00.0000000Z","98847"
"BHL","1H_derived_from_1m","2026-03-24T09:00:00.0000000Z","85229"
"BHL","1H_derived_from_1m","2026-03-25T05:00:00.0000000Z","82986"
"BHL","1H_derived_from_1m","2026-03-25T06:00:00.0000000Z","169992"
"BHL","1H_derived_from_1m","2026-03-25T07:00:00.0000000Z","73610"
"BHL","1H_derived_from_1m","2026-03-25T08:00:00.0000000Z","140628"
"BHL","1H_derived_from_1m","2026-03-25T09:00:00.0000000Z","204950"
"BHL","1H_derived_from_1m","2026-03-26T05:00:00.0000000Z","121466"
"BHL","1H_derived_from_1m","2026-03-26T06:00:00.0000000Z","73940"
"BHL","1H_derived_from_1m","2026-03-26T07:00:00.0000000Z","93809"
"BHL","1H_derived_from_1m","2026-03-26T08:00:00.0000000Z","85000"
"BHL","1H_derived_from_1m","2026-03-26T09:00:00.0000000Z","145751"
"BHL","1H_derived_from_1m","2026-03-29T05:00:00.0000000Z","113621"
"BHL","1H_derived_from_1m","2026-03-29T06:00:00.0000000Z","218967"
"BHL","1H_derived_from_1m","2026-03-29T07:00:00.0000000Z","216526"
"BHL","1H_derived_from_1m","2026-03-29T08:00:00.0000000Z","190827"
"BHL","1H_derived_from_1m","2026-03-29T09:00:00.0000000Z","117862"
"BHL","1H_derived_from_1m","2026-03-30T05:00:00.0000000Z","209621"
"BHL","1H_derived_from_1m","2026-03-30T06:00:00.0000000Z","158290"
"BHL","1H_derived_from_1m","2026-03-30T07:00:00.0000000Z","85396"
"BHL","1H_derived_from_1m","2026-03-30T08:00:00.0000000Z","222567"
"BHL","1H_derived_from_1m","2026-03-30T09:00:00.0000000Z","147148"
"BHL","1H_derived_from_1m","2026-03-31T05:00:00.0000000Z","128091"
"BHL","1H_derived_from_1m","2026-03-31T06:00:00.0000000Z","344921"
"BHL","1H_derived_from_1m","2026-03-31T07:00:00.0000000Z","89771"
"BHL","1H_derived_from_1m","2026-03-31T08:00:00.0000000Z","114554"
"BHL","1H_derived_from_1m","2026-03-31T09:00:00.0000000Z","113384"
"BHL","1H_derived_from_1m","2026-04-01T05:00:00.0000000Z","72336"
"BHL","1H_derived_from_1m","2026-04-01T06:00:00.0000000Z","61558"
"BHL","1H_derived_from_1m","2026-04-01T07:00:00.0000000Z","46290"
"BHL","1H_derived_from_1m","2026-04-01T08:00:00.0000000Z","307432"
"BHL","1H_derived_from_1m","2026-04-01T09:00:00.0000000Z","78777"
"BHL","1H_derived_from_1m","2026-04-02T05:00:00.0000000Z","248674"
"BHL","1H_derived_from_1m","2026-04-02T06:00:00.0000000Z","78593"
"BHL","1H_derived_from_1m","2026-04-02T07:00:00.0000000Z","180694"
"BHL","1H_derived_from_1m","2026-04-02T08:00:00.0000000Z","98776"
"BHL","1H_derived_from_1m","2026-04-02T09:00:00.0000000Z","50230"
"BHL","1H_derived_from_1m","2026-04-05T05:00:00.0000000Z","204249"
"BHL","1H_derived_from_1m","2026-04-05T06:00:00.0000000Z","99621"
"BHL","1H_derived_from_1m","2026-04-05T07:00:00.0000000Z","210058"
"BHL","1H_derived_from_1m","2026-04-05T08:00:00.0000000Z","73383"
"BHL","1H_derived_from_1m","2026-04-05T09:00:00.0000000Z","86788"
"BHL","1H_derived_from_1m","2026-04-06T05:00:00.0000000Z","150530"
"BHL","1H_derived_from_1m","2026-04-06T06:00:00.0000000Z","167723"
"BHL","1H_derived_from_1m","2026-04-06T07:00:00.0000000Z","62821"
"BHL","1H_derived_from_1m","2026-04-06T08:00:00.0000000Z","191283"
"BHL","1H_derived_from_1m","2026-04-06T09:00:00.0000000Z","60602"
"BHL","1H_derived_from_1m","2026-04-07T05:00:00.0000000Z","181793"
"BHL","1H_derived_from_1m","2026-04-07T06:00:00.0000000Z","145599"
"BHL","1H_derived_from_1m","2026-04-07T07:00:00.0000000Z","56040"
"BHL","1H_derived_from_1m","2026-04-07T08:00:00.0000000Z","77278"
"BHL","1H_derived_from_1m","2026-04-07T09:00:00.0000000Z","53839"
"BHL","1H_derived_from_1m","2026-04-08T05:00:00.0000000Z","73985"
"BHL","1H_derived_from_1m","2026-04-08T06:00:00.0000000Z","33524"
"BHL","1H_derived_from_1m","2026-04-08T07:00:00.0000000Z","66370"
"BHL","1H_derived_from_1m","2026-04-08T08:00:00.0000000Z","45282"
"BHL","1H_derived_from_1m","2026-04-08T09:00:00.0000000Z","32363"
"BHL","1H_derived_from_1m","2026-04-09T05:00:00.0000000Z","34874"
"BHL","1H_derived_from_1m","2026-04-09T06:00:00.0000000Z","95786"
"BHL","1H_derived_from_1m","2026-04-09T07:00:00.0000000Z","124077"
"BHL","1H_derived_from_1m","2026-04-09T08:00:00.0000000Z","160764"
"BHL","1H_derived_from_1m","2026-04-09T09:00:00.0000000Z","80607"
"BHL","1H_derived_from_1m","2026-04-10T05:00:00.0000000Z","62026"
"BHL","1H_derived_from_1m","2026-04-10T06:00:00.0000000Z","121877"
"BHL","1H_derived_from_1m","2026-04-10T07:00:00.0000000Z","34775"
"BHL","1H_derived_from_1m","2026-04-10T08:00:00.0000000Z","91903"
"BHL","1H_derived_from_1m","2026-04-10T09:00:00.0000000Z","58154"
"BHL","1H_derived_from_1m","2026-04-13T05:00:00.0000000Z","50234"
"BHL","1H_derived_from_1m","2026-04-13T06:00:00.0000000Z","61935"
"BHL","1H_derived_from_1m","2026-04-13T07:00:00.0000000Z","67492"
"BHL","1H_derived_from_1m","2026-04-13T08:00:00.0000000Z","92660"
"BHL","1H_derived_from_1m","2026-04-13T09:00:00.0000000Z","66172"
