"symbol","resolution","timestamp_utc","volume"
"BHL","1m","2026-03-22T09:14:59.0000000Z","25235"
"BHL","1m","2026-03-23T06:08:51.0000000Z","189486"
"BHL","1m","2026-03-23T06:09:41.0000000Z","1837"
"BHL","1m","2026-03-23T06:10:38.0000000Z","2440"
"BHL","1m","2026-03-23T06:11:49.0000000Z","1500"
"BHL","1m","2026-03-23T06:12:48.0000000Z","3570"
"BHL","1m","2026-03-23T06:13:53.0000000Z","6065"
"BHL","1m","2026-03-23T06:14:13.0000000Z","1120"
"BHL","1m","2026-03-23T06:15:54.0000000Z","1298"
"BHL","1m","2026-03-23T06:16:58.0000000Z","2861"
"BHL","1m","2026-03-23T06:17:45.0000000Z","3626"
"BHL","1m","2026-03-23T06:18:39.0000000Z","1775"
"BHL","1m","2026-03-23T06:19:42.0000000Z","1461"
"BHL","1m","2026-03-23T06:20:57.0000000Z","12124"
"BHL","1m","2026-03-23T06:21:56.0000000Z","3395"
"BHL","1m","2026-03-23T06:24:36.0000000Z","3808"
"BHL","1m","2026-03-23T06:25:36.0000000Z","2520"
"BHL","1m","2026-03-23T06:26:57.0000000Z","8220"
"BHL","1m","2026-03-23T06:27:51.0000000Z","3467"
"BHL","1m","2026-03-23T06:28:18.0000000Z","323"
"BHL","1m","2026-03-23T06:29:56.0000000Z","1115"
"BHL","1m","2026-03-23T06:30:37.0000000Z","250"
"BHL","1m","2026-03-23T06:31:27.0000000Z","39"
"BHL","1m","2026-03-23T06:32:52.0000000Z","1670"
"BHL","1m","2026-03-23T06:33:20.0000000Z","10"
"BHL","1m","2026-03-23T06:35:59.0000000Z","1646"
"BHL","1m","2026-03-23T06:37:51.0000000Z","1980"
"BHL","1m","2026-03-23T06:38:57.0000000Z","500"
"BHL","1m","2026-03-23T06:39:50.0000000Z","773"
"BHL","1m","2026-03-23T06:40:53.0000000Z","288"
"BHL","1m","2026-03-23T06:41:29.0000000Z","329"
"BHL","1m","2026-03-23T06:42:41.0000000Z","2232"
"BHL","1m","2026-03-23T06:44:50.0000000Z","17224"
"BHL","1m","2026-03-23T06:45:59.0000000Z","86"
"BHL","1m","2026-03-23T06:47:50.0000000Z","650"
"BHL","1m","2026-03-23T06:49:10.0000000Z","3960"
"BHL","1m","2026-03-23T06:50:29.0000000Z","1816"
"BHL","1m","2026-03-23T06:52:21.0000000Z","36608"
"BHL","1m","2026-03-23T06:53:50.0000000Z","7681"
"BHL","1m","2026-03-23T06:55:44.0000000Z","4126"
"BHL","1m","2026-03-23T06:56:50.0000000Z","730"
"BHL","1m","2026-03-23T06:57:21.0000000Z","5600"
"BHL","1m","2026-03-23T06:58:49.0000000Z","819"
"BHL","1m","2026-03-23T06:59:31.0000000Z","4910"
"BHL","1m","2026-03-23T07:00:58.0000000Z","4196"
"BHL","1m","2026-03-23T07:01:55.0000000Z","2214"
"BHL","1m","2026-03-23T07:02:54.0000000Z","735"
"BHL","1m","2026-03-23T07:03:49.0000000Z","4600"
"BHL","1m","2026-03-23T07:04:51.0000000Z","2285"
"BHL","1m","2026-03-23T07:05:49.0000000Z","6740"
"BHL","1m","2026-03-23T07:06:56.0000000Z","4972"
"BHL","1m","2026-03-23T07:07:51.0000000Z","1180"
"BHL","1m","2026-03-23T07:08:42.0000000Z","510"
"BHL","1m","2026-03-23T07:09:28.0000000Z","100"
"BHL","1m","2026-03-23T07:10:49.0000000Z","990"
"BHL","1m","2026-03-23T07:11:46.0000000Z","2780"
"BHL","1m","2026-03-23T07:12:35.0000000Z","793"
"BHL","1m","2026-03-23T07:13:56.0000000Z","4596"
"BHL","1m","2026-03-23T07:14:58.0000000Z","4110"
"BHL","1m","2026-03-23T07:15:31.0000000Z","664"
"BHL","1m","2026-03-23T07:16:57.0000000Z","2380"
