date_np,bars,volume,open,high,low,close
2025-04-24,1,0,255.24,255.37,255.24,255.37
2025-04-27,238,1579930,260,276.1,256.19,273.44
2025-04-28,216,846127,278.1,283.71,268.57,270.82
2025-04-29,203,574163,271.43,278.1,265.33,273.54
2025-04-30,236,1381348,271.43,288.57,271.43,284.85
2025-05-04,226,814511,289.52,291.43,278.57,279.4
2025-05-05,208,525872,277.24,280.95,271.52,274.32
2025-05-06,223,1090089,273.33,288.57,273.33,286.51
2025-05-07,228,1029777,297.14,297.14,287.05,288.33
2025-05-08,229,1167684,290.48,300.95,283.81,293.23
2025-05-11,216,850512,298.95,300,288.57,289.6
2025-05-13,224,793901,292.38,294.1,280.1,280.87
2025-05-14,214,665211,277.14,281.81,270.48,271.17
2025-05-15,199,369554,276.57,276.57,263.81,271.75
2025-05-18,180,346071,277.14,277.14,263.81,264.9
2025-05-19,165,232800,274.29,274.29,267.62,270.38
2025-05-20,176,294322,270.38,281.14,264.86,279.58
2025-05-21,197,459196,294.29,294.29,275.24,275.96
2025-05-22,184,370962,277.33,280.48,267.81,269.77
2025-05-25,156,244248,267.05,272.38,263.9,266.2
2025-05-26,153,218822,271.43,276.19,264.86,266.46
2025-05-27,164,166084,266.67,270.48,263.05,265.66
2025-05-28,188,430922,268.57,278.76,266.67,276.89
2025-06-02,203,561748,282.38,283.81,278.1,279.27
2025-06-03,145,282352,280,282.76,273.33,275.26
2025-06-04,128,195624,276.19,279.05,270.67,273.27
2025-06-05,193,488678,268.57,282.86,268.57,281.76
2025-06-08,224,770068,282.86,293.33,282.1,287.23
2025-06-09,204,558677,291.43,291.43,284.67,286.45
2025-06-10,218,612746,291.43,294.29,285.71,291.1
2025-06-11,224,843040,290.48,296.19,286.76,295.41
2025-06-12,232,905182,295.24,301.05,291.52,292.8
2025-06-15,214,519733,294.29,295.24,287.62,291.87
2025-06-16,220,735238,289.52,299.33,288.19,288.78
2025-06-17,199,384746,285.81,289.52,280,284.44
2025-06-18,184,371657,290.48,290.48,281.9,282.63
2025-06-19,204,497341,283.33,290.48,279.14,280.44
2025-06-22,191,276409,282.76,282.86,271.43,271.85
2025-06-23,176,212621,266.76,276.19,266.76,272.99
2025-06-24,158,242597,277.14,279.05,271.14,271.66
2025-06-25,121,145188,270.95,275.14,270.48,271.46
2025-06-26,156,220278,267.62,275.81,267.62,269.48
2025-06-29,154,177936,268.57,273.33,268.57,270.83
2025-06-30,138,135611,272.38,276.1,270.48,270.86
2025-07-01,167,173089,274.29,277.05,271.43,274.32
2025-07-02,176,224484,279.05,281.52,274.29,275.77
2025-07-03,176,248891,280.95,280.95,271.81,273.7
2025-07-06,154,167126,276.19,276.19,269.62,270.23
2025-07-07,148,194663,272.86,272.86,264.86,269.84
2025-07-08,130,130260,275.14,275.14,267.14,270.14
2025-07-09,110,102033,272.29,275.24,269.52,273.45
2025-07-10,130,192933,276.1,277.81,269.52,270.51
2025-07-13,164,267327,280.95,280.95,270.86,271.3
2025-07-14,128,171143,272.38,275.24,270.1,270.61
2025-07-15,147,203107,274.1,277.05,269.62,276.52
2025-07-16,168,232730,278.1,280.95,277.14,277.8
2025-07-17,196,481688,280.86,289.52,279.05,287.08
2025-07-20,207,597313,287.62,293.33,282.95,284.97
2025-07-21,170,256587,285.71,288.57,277.24,285.19
2025-07-22,219,636948,290.86,293.81,283.81,290.46
2025-07-23,228,1063581,295.24,303.81,290.48,298.88
2025-07-24,224,830105,304.76,308.57,300.95,308.1
2025-07-27,224,1139186,309.52,318,300.1,301.68
2025-07-28,210,636291,301.9,304.95,296.19,304.15
