hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,0,255.24,255.37,255.24,255.37
2025-04-27 11:00,60,509860,260,271.43,256.19,271.05
2025-04-27 12:00,60,408563,271.05,275.81,270.57,273.33
2025-04-27 13:00,58,264356,273.33,276.1,271.81,273.52
2025-04-27 14:00,60,397151,273.52,275.24,269.52,273.44
2025-04-28 11:00,58,400876,278.1,283.71,278.1,282.76
2025-04-28 12:00,51,153495,282.76,282.76,274.57,277.62
2025-04-28 13:00,51,155692,277.62,278.1,273.33,273.33
2025-04-28 14:00,56,136064,273.33,273.9,268.57,270.82
2025-04-29 11:00,43,58373,271.43,274.29,268,268
2025-04-29 12:00,50,177472,268,274.29,265.33,274.29
2025-04-29 13:00,53,155028,274.29,277.52,273.43,275.05
2025-04-29 14:00,57,183290,275.05,278.1,272.48,273.54
2025-04-30 11:00,59,266187,271.43,280,271.43,277.62
2025-04-30 12:00,59,649025,277.62,288.57,276.19,287.52
2025-04-30 13:00,59,254648,287.52,287.52,284.48,285.62
2025-04-30 14:00,59,211488,285.62,286.67,284.29,284.85
2025-05-04 11:00,60,296017,289.52,291.43,282.95,287.62
2025-05-04 12:00,59,203009,287.62,289.05,283.05,283.14
2025-05-04 13:00,51,149928,283.14,286.1,280.1,280.1
2025-05-04 14:00,56,165557,280.1,281.9,278.57,279.4
2025-05-05 11:00,54,159446,277.24,280.95,273.71,275.05
2025-05-05 12:00,53,149865,275.05,278,271.52,272.38
2025-05-05 13:00,47,98244,272.38,278.1,271.52,276.19
2025-05-05 14:00,54,118317,276.19,278.76,272.86,274.32
2025-05-06 11:00,55,147636,273.33,280.76,273.33,279.05
2025-05-06 12:00,52,298551,279.05,285.05,279.05,280.95
2025-05-06 13:00,57,247705,280.95,285.71,280.95,285.05
2025-05-06 14:00,59,396197,285.05,288.57,282.95,286.51
2025-05-07 11:00,60,413188,297.14,297.14,289.9,291.43
2025-05-07 12:00,54,191232,291.43,295.14,290.95,294.29
2025-05-07 13:00,56,164617,294.29,294.29,290.48,292
2025-05-07 14:00,58,260740,292,292.29,287.05,288.33
2025-05-08 11:00,56,195239,290.48,292.29,283.81,288.38
2025-05-08 12:00,53,289952,288.38,295.24,285.71,295.24
2025-05-08 13:00,60,384572,295.24,300.95,292.38,300.86
2025-05-08 14:00,60,297921,300.86,300.95,291.52,293.23
2025-05-11 11:00,56,195453,298.95,300,293.33,293.33
2025-05-11 12:00,56,201020,293.33,299.05,290.57,294.29
2025-05-11 13:00,46,174529,294.29,295.24,290.48,293.33
2025-05-11 14:00,58,279510,293.33,296.1,288.57,289.6
2025-05-13 11:00,59,156700,292.38,294.1,287.62,288.1
2025-05-13 12:00,56,199005,288.1,289.33,283.81,284.76
2025-05-13 13:00,58,237657,284.76,286.57,280.95,283.81
2025-05-13 14:00,51,200539,283.81,284.57,280.1,280.87
2025-05-14 11:00,54,84566,277.14,280.95,277.14,279.05
2025-05-14 12:00,51,174642,279.05,281.43,276.19,280.95
2025-05-14 13:00,51,116411,280.95,281.81,276.19,276.19
2025-05-14 14:00,58,289592,276.19,276.29,270.48,271.17
2025-05-15 11:00,55,117150,276.57,276.57,263.81,274.1
2025-05-15 12:00,47,41358,274.1,275.24,271.43,273.33
2025-05-15 13:00,45,68424,273.33,273.33,269.52,271.43
2025-05-15 14:00,52,142622,271.43,273.33,269.52,271.75
2025-05-18 11:00,43,45655,277.14,277.14,271.62,272.38
2025-05-18 12:00,44,74361,272.38,276.19,272.1,274.76
2025-05-18 13:00,44,86848,274.76,276.19,269.52,269.52
2025-05-18 14:00,49,139207,269.52,269.52,263.81,264.9
2025-05-19 11:00,47,62092,274.29,274.29,269.52,272.1
