hour_np,bars,volume,open,high,low,close
2026-03-24 14:00,1,9545,308,309,307.3,308
2026-03-25 11:00,53,83717,309.9,309.9,303,303
2026-03-25 12:00,48,73359,303,305,301.1,303
2026-03-25 13:00,46,70879,303,306,303,305
2026-03-25 14:00,51,241015,305,306,299,302
2026-03-26 11:00,52,114823,296,302,296,300
2026-03-26 12:00,47,71804,300,303,298.3,303
2026-03-26 13:00,46,72808,303,305,300.1,301.2
2026-03-26 14:00,52,140629,301.2,304.9,300.1,304.9
2026-03-29 11:00,55,129359,304.9,305,296,297.5
2026-03-29 12:00,53,146716,297.5,299.6,295,297
2026-03-29 13:00,53,128764,297,297.6,293.1,295
2026-03-29 14:00,58,142955,295,296.4,291.2,291.9
2026-03-30 11:00,53,115241,292.1,295,286.1,291.8
2026-03-30 12:00,51,61311,291.8,295.1,291,291.9
2026-03-30 13:00,43,80316,291.9,293.8,288.5,288.5
2026-03-30 14:00,57,267866,288.5,289,282.1,283.6
2026-03-31 11:00,56,115420,285,287,278.2,278.4
2026-03-31 12:00,55,88340,278.4,284.5,278.2,284.5
2026-03-31 13:00,43,55414,284.5,286.9,280.2,284.8
2026-03-31 14:00,52,142127,284.8,290.7,283.6,285
2026-04-01 11:00,44,77093,282,285,278.1,278.3
2026-04-01 12:00,43,74731,278.3,280,278,278.4
2026-04-01 13:00,46,86350,278.4,279.9,275,276
2026-04-01 14:00,58,211648,276,276,270,272
2026-04-02 11:00,57,117440,270,275.2,265,274.2
2026-04-02 12:00,39,60732,274.2,275.2,270,275.2
2026-04-02 13:00,52,62449,275.2,278.4,273,274.5
2026-04-02 14:00,53,64006,274.5,275,271.5,271.9
2026-04-05 11:00,56,168781,272,272,260.4,263
2026-04-05 12:00,49,73741,263,267,261,262
2026-04-05 13:00,48,147369,262,265,259,260
2026-04-05 14:00,54,83061,260,263,257.9,257.9
2026-04-06 11:00,56,104078,253,265.8,253,265.5
2026-04-06 12:00,43,53028,265.5,266,263,263.7
2026-04-06 13:00,45,51194,263.7,268,263,268
2026-04-06 14:00,59,143447,268,277,268,272
2026-04-07 11:00,57,124312,275,277.9,272.7,275
2026-04-07 12:00,43,65473,275,275.9,269,270
2026-04-07 13:00,31,24870,270,276,270,274
2026-04-07 14:00,45,72565,274,274,269.2,270
2026-04-08 11:00,33,31764,275,275,272,273
2026-04-08 12:00,38,49722,273,277.7,272,277.7
2026-04-08 13:00,41,45791,277.7,277.7,273,274
2026-04-08 14:00,36,65405,274,278,273,277.5
2026-04-09 11:00,46,53283,278,281,275,280
2026-04-09 12:00,47,62127,280,283,279.5,281.1
2026-04-09 13:00,40,39209,281.1,283,280,282
2026-04-09 14:00,50,111566,282,285,281,282
2026-04-10 11:00,42,51499,280,284,279,281
2026-04-10 12:00,43,49489,281,282,276.5,277.2
2026-04-10 13:00,34,35518,277.2,282.1,277.2,279
2026-04-10 14:00,35,89269,279,281,274,276
2026-04-13 11:00,39,26700,275,279.2,272,275.5
2026-04-13 12:00,36,21805,275.5,278.6,275.5,276
2026-04-13 13:00,26,22198,276,278,275.5,277.8
2026-04-13 14:00,44,87622,277.8,281,275.5,278
2026-04-15 11:00,52,94215,279,287.5,278.3,287.1
2026-04-15 12:00,56,122290,287.1,291,285.1,289
2026-04-15 13:00,45,68386,289,290,287,288.9
2026-04-15 14:00,46,95185,288.9,288.9,283.1,286.5
2026-04-16 11:00,42,67182,292.2,292.2,279.1,283
2026-04-16 12:00,42,28988,283,284,280.4,284
2026-04-16 13:00,43,58330,284,284,278.1,279
2026-04-16 14:00,47,112802,279,280,276,276.9
2026-04-17 11:00,34,40592,280.9,280.9,275.3,275.3
2026-04-17 12:00,31,36431,275.3,278.4,275,275.7
2026-04-17 13:00,41,47585,275.7,280,275.7,278
2026-04-17 14:00,38,89589,278,283,278,282
2026-04-20 11:00,32,25713,280.1,281.6,277,277.5
2026-04-20 12:00,27,45892,277.5,279.8,275,277
2026-04-20 13:00,22,6150,277,279,277,277.4
2026-04-20 14:00,34,27747,277.4,279,277,278
2026-04-21 11:00,28,19750,278,279.8,275.6,276
2026-04-21 12:00,24,18476,276,278,275,275
2026-04-21 13:00,20,9348,275,276.9,274,276
2026-04-21 14:00,44,60110,276,276.9,272,272.1
2026-04-22 11:00,34,34221,258.5,273,258.5,266.3
2026-04-22 12:00,36,32494,266.3,268.7,265,268
2026-04-22 13:00,24,18611,268,269,266.2,268
2026-04-22 14:00,42,86450,268,278,268,275
2026-04-23 11:00,31,31406,272,275,270,270
2026-04-23 12:00,25,12192,270,272.9,269,272.9
2026-04-23 13:00,28,39926,272.9,275.5,271,272.9
2026-04-23 14:00,34,74776,272.9,273,267,268
2026-04-24 11:00,34,18770,272,272,263.5,265.1
2026-04-24 12:00,24,25897,265.1,269.9,265,266
2026-04-24 13:00,30,15770,266,270,266,269
2026-04-24 14:00,35,57263,269,269,265,268
