date_np,bars,volume,open,high,low,close
2025-04-24,1,900,226,227.04,226,227.04
2025-04-27,172,246426,227,241,227,235.85
2025-04-28,206,457733,238.5,248.4,238,240.81
2025-04-29,130,115792,245,245,237.5,238.51
2025-04-30,205,538136,240.7,250,235,246.63
2025-05-04,214,623121,251.5,257.8,247.3,251.07
2025-05-05,167,304930,252,252,242,242.37
2025-05-06,195,473910,237.7,253.9,237.7,252.99
2025-05-07,228,868746,248,265,248,262.61
2025-05-08,225,840668,266,276,256,265.89
2025-05-11,210,461835,269,271.2,256,256.73
2025-05-13,196,384143,258,261.5,248,248.77
2025-05-14,179,286050,258,258,240.3,242.4
2025-05-15,169,192900,247.2,247.2,240,244.15
2025-05-18,147,208774,239.3,248,236,236.88
2025-05-19,159,161118,240,243,239,240.41
2025-05-20,163,231417,240,258,236,251.29
2025-05-21,180,277670,266,266,245.3,246.52
2025-05-22,158,184072,250,251,243,244.04
2025-05-25,161,124767,240.3,245,239.1,241.97
2025-05-26,147,167735,246.8,250,240,240.98
2025-05-27,145,146728,240,246,240,240.8
2025-05-28,178,613097,240,257,238.7,254.98
2025-06-02,234,882142,265,266.5,258.2,260.66
2025-06-03,196,760440,262,266.9,256,264.7
2025-06-04,212,1345426,261.1,274.5,261.1,273.68
2025-06-05,234,1057285,274,277.9,270,276.92
2025-06-08,228,985766,276,280.9,272.6,274.14
2025-06-09,218,796763,274,276.5,268.5,270.19
2025-06-10,234,1887396,273.9,289.5,271,285.75
2025-06-11,234,1080260,285,297,280.1,293.29
2025-06-12,235,1267402,294,301,282,284.35
2025-06-15,230,1037896,287,287.3,280.1,281.84
2025-06-16,221,1037343,285,294.7,280,280.31
2025-06-17,214,538421,280,283,274.1,278.24
2025-06-18,219,467900,278,283,275.6,277.98
2025-06-19,218,547436,280.7,282,271,271.57
2025-06-22,220,508534,277,277,258,258.43
2025-06-23,185,313500,260,263.5,255.1,260.26
2025-06-24,181,315276,264,269.8,258.1,258.8
2025-06-25,147,145385,261,264,257,257.26
2025-06-26,178,284574,259,263.7,255.1,256.48
2025-06-29,164,195356,258,261.4,255.2,257.18
2025-06-30,191,325091,260,267.8,257.1,262.95
2025-07-01,170,204468,260,268.4,260,267.08
2025-07-02,183,260983,272.4,272.4,263,265.2
2025-07-03,168,244857,266,268.2,261.3,261.41
