hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,900,226,227.04,226,227.04
2025-04-27 11:00,36,33189,227,234,227,232.8
2025-04-27 12:00,53,123629,232.8,241,232.5,237
2025-04-27 13:00,42,39260,237,239.8,235,238
2025-04-27 14:00,41,50348,238,239,234,235.85
2025-04-28 11:00,56,212821,238.5,247,238,247
2025-04-28 12:00,51,110763,247,248.4,243.1,245
2025-04-28 13:00,48,46050,245,245.5,241.5,242
2025-04-28 14:00,51,88099,242,242,238.9,240.81
2025-04-29 11:00,36,34364,245,245,238,238
2025-04-29 12:00,30,23555,238,240.6,237.5,239
2025-04-29 13:00,29,21159,239,240.9,239,239
2025-04-29 14:00,35,36714,239,240,238,238.51
2025-04-30 11:00,36,43395,240.7,242,235,238.4
2025-04-30 12:00,56,222571,238.4,248,236,246.9
2025-04-30 13:00,58,170985,246.9,250,246,249
2025-04-30 14:00,55,101185,249,249,245.3,246.63
2025-05-04 11:00,56,197006,251.5,256,247.3,256
2025-05-04 12:00,57,240355,256,257.8,254.2,255
2025-05-04 13:00,51,105937,255,256.4,252,252
2025-05-04 14:00,50,79823,252,253,250,251.07
2025-05-05 11:00,47,70029,252,252,243.2,245
2025-05-05 12:00,40,71692,245,247.9,242.2,242.2
2025-05-05 13:00,34,58871,242.2,246,242.1,243.8
2025-05-05 14:00,46,104338,243.8,246.9,242,242.37
2025-05-06 11:00,44,55162,237.7,249.9,237.7,249.5
2025-05-06 12:00,45,68232,249.5,249.7,246.1,248
2025-05-06 13:00,51,157204,248,252.9,247,252
2025-05-06 14:00,55,193312,252,253.9,250,252.99
2025-05-07 11:00,60,360644,248,264.8,248,263.5
2025-05-07 12:00,58,212585,263.5,265,260.9,263.3
2025-05-07 13:00,54,152555,263.3,263.7,260.3,261.8
2025-05-07 14:00,56,142962,261.8,263.1,260,262.61
2025-05-08 11:00,56,158735,266,266,256,262
2025-05-08 12:00,51,134022,262,265.5,258,265
2025-05-08 13:00,60,370093,265,276,264,273
2025-05-08 14:00,58,177818,273,273.5,265,265.89
2025-05-11 11:00,53,161911,269,271.2,264,264
2025-05-11 12:00,50,90456,264,265.9,261,261
2025-05-11 13:00,53,55578,261,263.8,260.2,262.9
2025-05-11 14:00,54,153890,262.9,265,256,256.73
2025-05-13 11:00,46,94397,258,261.5,252,258.7
2025-05-13 12:00,52,58258,258.7,259,253.8,254
2025-05-13 13:00,50,94391,254,256.8,251,253.1
2025-05-13 14:00,48,137097,253.1,253.1,248,248.77
2025-05-14 11:00,47,55184,258,258,246,252.6
2025-05-14 12:00,37,42251,252.6,254.5,251.1,251.7
2025-05-14 13:00,40,49124,251.7,251.9,247,247
2025-05-14 14:00,55,139491,247,247,240.3,242.4
2025-05-15 11:00,41,29842,247.2,247.2,240,244.9
2025-05-15 12:00,36,40926,244.9,247,244.3,246.9
2025-05-15 13:00,41,37701,246.9,246.9,242.1,243
2025-05-15 14:00,51,84431,243,245,240.1,244.15
2025-05-18 11:00,31,19422,239.3,248,239.3,242.9
2025-05-18 12:00,32,24207,242.9,243.9,242,243
2025-05-18 13:00,33,38151,243,243.9,239.1,240.6
2025-05-18 14:00,51,126994,240.6,240.6,236,236.88
2025-05-19 11:00,45,49354,240,242.9,240,240.5
2025-05-19 12:00,36,35445,240.5,242.6,240.2,242
2025-05-19 13:00,37,34880,242,243,240,240
2025-05-19 14:00,41,41439,240,242,239,240.41
2025-05-20 11:00,34,20115,240,241.9,236,238
2025-05-20 12:00,34,23459,238,243,238,240.1
2025-05-20 13:00,37,33480,240.1,246,240,246
2025-05-20 14:00,58,154363,246,258,245.5,251.29
2025-05-21 11:00,54,130462,266,266,252,252.1
2025-05-21 12:00,35,28252,252.1,255,252,252
2025-05-21 13:00,49,59756,252,252.1,248,251.5
2025-05-21 14:00,42,59200,251.5,251.5,245.3,246.52
2025-05-22 11:00,42,42204,250,251,243,246
2025-05-22 12:00,37,36766,246,250,246,247
