date_np,bars,volume,open,high,low,close
2025-04-24,1,0,266.29,267.65,266.29,267.65
2025-04-27,215,481619,270.48,281.81,267.71,278.42
2025-04-28,181,342651,280.86,283.9,272.95,273.82
2025-04-29,152,138431,279.24,279.24,269.52,272.27
2025-04-30,185,392050,276.19,290.48,267.62,279.24
2025-05-04,240,1256581,288.57,297.14,283.81,291.26
2025-05-05,204,428400,291.43,292.29,282.86,284.48
2025-05-06,211,564079,289.43,292.38,285.71,290.09
2025-05-07,231,806054,292.66,300,291.43,296.42
2025-05-08,230,1207156,300,311.43,290.48,303.3
2025-05-11,230,575421,307.14,311.81,297.05,297.91
2025-05-13,226,500996,303.81,307.62,289.05,290.99
2025-05-14,195,368890,295.14,295.14,280.95,281.68
2025-05-15,195,346250,277.14,287.62,277.14,281.38
2025-05-18,189,257967,285.62,285.62,271.52,272.86
2025-05-19,171,248198,276.95,280.95,274.29,277.76
2025-05-20,168,214348,280.95,291.24,273.43,289.18
2025-05-21,190,367680,300,302.86,282.86,284.74
2025-05-22,163,184786,284.76,288.48,280.94,280.94
2025-05-25,156,166263,282.86,285.71,276.19,278.15
2025-05-26,159,158481,285.71,285.71,276.19,277.3
2025-05-27,136,143304,277.14,282.38,273.43,277.58
2025-05-28,166,223984,275.24,285.62,275.24,282.35
2025-06-02,184,293826,293.62,293.62,277.14,280.45
2025-06-03,122,105841,280.95,282.86,278.29,279.2
2025-06-04,122,103329,274.76,281.81,274.76,278.02
2025-06-05,137,170661,283.52,283.52,277.24,280.84
2025-06-08,205,481844,285.62,291.14,283.81,287.77
2025-06-09,169,166725,289.52,291.43,284.76,286.02
2025-06-10,194,278685,286.67,293.33,286.67,287.62
2025-06-11,183,733159,291.43,300,280,297.48
2025-06-12,227,716111,305.71,305.71,294.29,297.04
2025-06-15,202,449330,297.14,300.86,290.57,292.06
2025-06-16,202,687643,297.14,297.14,285.71,286.3
2025-06-17,177,196820,291.43,291.43,280.95,285.29
2025-06-18,173,318788,280.95,289.52,280.95,283.9
2025-06-19,188,433927,285.71,289.52,283.81,283.93
2025-06-22,180,223841,283.9,284.19,277.14,277.46
2025-06-23,168,163898,280,280.95,276.19,278.6
2025-06-24,138,125318,282.86,283.81,279.05,279.11
2025-06-25,129,145832,284.67,284.67,276.29,277.71
2025-06-26,157,222773,282.86,282.86,274.29,274.81
2025-06-29,166,132594,280,280,274.38,274.89
2025-06-30,125,93782,280,280,274.48,276.63
2025-07-01,146,103713,280,280,275.24,279.2
2025-07-02,155,116585,284.76,284.76,278.57,279.73
2025-07-03,152,167429,280,283.24,277.33,282.06
2025-07-06,148,107345,285.71,285.71,279.05,279.98
2025-07-07,136,103174,277.14,281.9,277.14,277.87
2025-07-08,122,153866,280.95,280.95,276.19,276.97
2025-07-09,131,115226,276.19,281.71,276.19,279.88
2025-07-10,149,148544,283.71,283.71,278.38,279.81
2025-07-13,162,187535,290.95,290.95,278.1,278.1
2025-07-14,141,168667,278.57,285.05,277.24,280.14
2025-07-15,131,136264,284.1,284.1,278.29,281.66
2025-07-16,158,192941,282,284.19,280.48,281.83
2025-07-17,201,329691,285.71,293.14,284.67,290.05
2025-07-20,212,361681,295.24,298.1,288.38,288.89
2025-07-21,185,221082,288.89,292.29,285.71,288.56
2025-07-22,224,773960,289.52,299.14,289.52,297.21
2025-07-23,224,841430,299.05,308,298.38,305.26
2025-07-24,231,706180,310.48,311.43,303.81,311.08
2025-07-27,227,832914,317.14,317.14,303.81,305.2
2025-07-28,218,491455,304.76,306.76,298.29,304.56
2025-07-29,209,290087,308.57,310.48,300.48,302.41
2025-07-30,214,412612,302.86,302.86,295.14,295.54
2025-07-31,206,309200,293.33,297.14,291.43,291.82
2025-08-03,209,229069,286,296.19,286,288.07
2025-08-04,186,214076,292.29,292.29,284.76,288.06
2025-08-05,169,224872,291.43,292.29,283.9,284.71
2025-08-06,142,171158,286.67,286.67,282.1,282.59
2025-08-07,168,122760,284.76,287.52,281.9,286.41
2025-08-11,154,117474,286.67,290.48,283.52,283.73
2025-08-12,157,202279,283.81,285.71,280.67,280.87
2025-08-13,175,180273,280.95,285.71,280.95,283.8
2025-08-14,136,104895,285.71,287.33,282.57,285.04
2025-08-17,145,126467,290.48,290.48,280.29,280.65
2025-08-18,134,135140,282,284.76,278.95,282.8
2025-08-19,117,71013,286.67,286.67,282,282.29
2025-08-20,105,99997,280,284.86,279.33,280.45
2025-08-21,111,98330,275.24,285.71,275.24,278.98
2025-08-24,118,89595,273.43,280.95,273.43,277.17
2025-08-25,129,108619,278.1,280.67,275.43,277.73
2025-08-26,108,59598,274.29,280.86,274.29,278.24
2025-08-27,128,76896,280.95,285.71,277.24,284.66
2025-08-28,135,136156,284.76,285.71,280,280.71
2025-08-31,126,101466,278.19,280.95,277.14,277.74
2025-09-01,129,105242,280.86,280.86,275.24,277.92
2025-09-02,98,73212,278.1,280,277.14,278.56
2025-09-03,98,61359,278.1,279.05,277.14,277.37
2025-09-04,126,102469,276.76,279.05,274.29,276.59
2025-09-07,114,49153,274.57,277.14,274.57,275.75
2025-09-08,88,103342,272.48,278.1,270.67,273.6
2025-09-18,7,20003,268.19,268.19,247.62,247.71
2025-09-21,172,227445,251.43,272.48,251.43,272.48
2025-09-23,136,124826,277.9,280,273.33,278
2025-09-24,109,51621,280,280,272.38,274.29
2025-09-25,87,63162,272.57,277.14,272.57,276.19
2025-09-28,80,54662,280.95,280.95,275.33,278.1
2025-10-07,108,87178,280.95,280.95,271.43,271.9
2025-10-08,142,154459,271.43,276.19,262.95,266.67
2025-10-09,126,113222,272,285.71,267.62,268.67
2025-10-12,148,146864,268.57,268.57,261.43,264.76
2025-10-13,120,67968,264.76,266.67,260,266.67
2025-10-14,93,50954,268.57,268.57,261.9,262.29
2025-10-15,99,60423,260,263.81,258.1,259.05
2025-10-16,93,56041,259.14,260.86,256.19,257.33
2025-10-19,72,38976,261.9,261.9,256.19,260.76
2025-10-26,68,24373,257.24,259.05,257.24,258.95
2025-10-28,122,66307,259.05,268.57,259.05,268.57
2025-10-29,93,52847,268.57,273.14,264.76,265.71
2025-10-30,104,98212,268.48,273.9,262.95,271.33
2025-11-02,156,183621,276.19,280.95,270.48,278.1
2025-11-03,132,92365,281.71,281.71,272.86,274.29
2025-11-04,88,59209,272.38,276.67,270.48,270.48
2025-11-05,101,81342,275.24,275.24,265.71,271.43
2025-11-06,107,200307,266,272.38,262.95,265.71
2025-11-09,101,77395,266.67,268.48,261.9,263.81
2025-11-10,95,49145,263.81,266.67,262,264.76
2025-11-11,92,51510,263.81,266.67,262.38,264.76
2025-11-12,127,67742,269.43,269.52,263.81,265.71
2025-11-13,101,76723,263.81,268.57,263.81,265.71
2025-11-16,82,38369,265.71,270,264.76,266.1
2025-11-17,96,51691,264.95,268.57,264.95,266.67
2025-11-18,91,69059,266.67,270.48,266.67,268.57
2025-11-19,73,70982,270.38,271.43,265.43,268.1
2025-11-20,96,50956,266.67,269.9,264.95,266.1
2025-11-23,105,50951,267.62,270.48,267.33,269.05
2025-11-24,115,96611,274.1,274.29,271.43,272.86
2025-11-25,129,74963,278.1,278.1,270.67,272.95
2025-11-26,149,231337,271.52,280.95,271.52,278.76
2025-11-27,131,156373,278.76,282.86,277.9,279.05
2025-11-30,148,196899,280.95,283.81,273.62,274.29
2025-12-01,99,81064,269.52,277.14,269.52,275.24
2025-12-02,111,112552,270,279.05,270,277.14
2025-12-03,103,113637,277.14,279.71,271.43,274.29
2025-12-07,100,70427,274.29,274.38,271.14,271.52
2025-12-08,120,79213,271.71,274.95,269.05,270.48
2025-12-09,85,45575,272.38,274.19,270.76,270.95
2025-12-10,78,46449,270.48,274.19,268.57,269.52
2025-12-11,110,77369,267.62,272.29,267.62,269.24
2025-12-14,103,99234,271.43,271.9,268.57,271.43
2025-12-15,79,62161,272.38,273.24,268,271.9
2025-12-16,101,87916,271.9,275.24,271.9,274.67
2025-12-17,105,92401,276.1,277.14,274.29,276.19
2025-12-18,86,99102,276.19,276.95,273.33,274.29
2025-12-21,100,92292,274.29,275.05,271.43,274.29
2025-12-22,102,78697,278.1,278.1,270.48,272.38
2025-12-23,153,172010,272.38,275.24,271.43,274.29
2025-12-24,118,61110,274.29,276,272.86,275.24
2025-12-28,151,159752,278.57,281.9,275.24,281.62
2025-12-29,147,140420,285.52,285.52,277.71,278.57
2025-12-31,153,167892,284.1,284.1,278.67,280.95
2026-01-01,139,202035,281.43,281.9,277.14,280
2026-01-04,146,76087,280,283.4,278,281.2
2026-01-05,113,79148,281.2,285,281.2,284
2026-01-06,108,203231,286.8,289,283.2,284
2026-01-07,85,102029,283.1,287,282.5,285.9
2026-01-08,82,74785,285.9,288.2,284.2,285.5
2026-01-12,121,152308,284.5,289,284.5,288.8
2026-01-13,86,51673,288,292,287,289.4
2026-01-14,104,50519,289.9,291,287,289.3
2026-01-18,129,68116,294,294,288,290
2026-01-20,156,295108,294,299.9,290.3,299.9
2026-01-21,161,213242,298,301,295,295.9
2026-01-22,111,216291,294.8,300.5,292,298
2026-01-25,216,603653,300,309.5,299.5,308
2026-01-26,207,604511,312,312,300,306.8
2026-01-27,189,423362,307,308.8,297.4,297.5
2026-01-28,167,334494,296.2,301,291,298
2026-01-29,180,318879,305,305,295.7,299.7
2026-02-01,134,196511,298.1,300,295,297
2026-02-02,121,136059,297,301,296,298
2026-02-03,127,124815,300,300,292.1,296.5
2026-02-04,107,132476,298,298.8,293,296
2026-02-05,201,536969,301,312.1,296.2,303
2026-02-08,198,585301,305,311,299.6,301.9
2026-02-09,170,448876,307.9,307.9,296,297
2026-02-10,186,416755,297,309,297,302
2026-02-11,175,276403,305,311,300.1,303
2026-02-12,190,409062,309,309,302.4,303
2026-02-16,150,266669,306,306,297.3,299.5
2026-02-17,146,233251,297,301.4,292.1,295
2026-02-22,146,191264,295,299,290,291
2026-02-23,123,173416,290.5,297.8,290.4,297.8
2026-02-24,126,116135,291.9,299,291.9,297
2026-02-25,132,271738,300.7,303,295,302
2026-02-26,199,1054543,296.9,315,296.9,312.4
2026-03-01,229,1049844,312.4,321,308,316
2026-03-03,207,483492,316,319,312.2,317
2026-03-09,3,47031,323,341,323,340
2026-03-10,231,1842222,345,346.8,323,341
2026-03-11,234,1303521,341,354,336.2,340
2026-03-12,228,719166,345,345,335.3,336.3
2026-03-15,224,922715,343,343,335.2,339.8
2026-03-16,222,566324,339,343.9,331.1,333
2026-03-17,207,768540,332.5,343.7,331,341
2026-03-19,234,1528471,347.8,353.7,342.3,344.4
2026-03-22,208,1005619,348,348.1,339.2,343.5
2026-03-23,160,799386,343,349.5,343,348
2026-03-24,234,1601369,354,367.9,351,361.4
2026-03-25,233,1429057,360,368.9,358.8,359
2026-03-26,226,886488,359,365.1,354.1,364.2
2026-03-29,231,1046367,360,366,353,356
2026-03-30,224,1092401,355,359.2,350,357.6
2026-03-31,237,1143683,364.7,364.7,346,358.1
2026-04-01,233,1304796,356.1,358.5,343.1,350
2026-04-02,221,787287,350,356.8,343,353
2026-04-05,237,979663,350.5,350.5,324.6,325
2026-04-06,227,936872,325,348,325,346
2026-04-07,200,428867,350,350.8,339.2,341.5
2026-04-08,195,472857,345,350,342,349
2026-04-09,224,740288,347,354.9,344,352.2
2026-04-10,210,571583,354,354,346,351
2026-04-13,189,382840,351,353.5,345.1,348.2
2026-04-15,217,568585,345,357.2,345,353.7
2026-04-16,213,511242,350,357,348.8,349.5
2026-04-17,187,303048,349.8,352,345.1,349
2026-04-20,172,223229,350,350,341.5,345
2026-04-21,179,241252,346.1,348,339,339.1
