hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,0,266.29,267.65,266.29,267.65
2025-04-27 11:00,47,126168,270.48,277.14,267.71,277.14
2025-04-27 12:00,55,178797,277.14,281.81,276.19,278.1
2025-04-27 13:00,55,66542,278.1,279.05,277.24,278.1
2025-04-27 14:00,58,110112,278.1,279.62,274.86,278.42
2025-04-28 11:00,55,169782,280.86,283.9,278.95,282.76
2025-04-28 12:00,50,66162,282.76,283.71,278.48,279.05
2025-04-28 13:00,35,62566,279.05,279.05,274.48,274.48
2025-04-28 14:00,41,44141,274.48,275.62,272.95,273.82
2025-04-29 11:00,35,25726,279.24,279.24,270.48,270.48
2025-04-29 12:00,37,24146,270.48,274.29,269.52,272.57
2025-04-29 13:00,40,47888,272.57,278,272.57,274.29
2025-04-29 14:00,40,40671,274.29,274.76,270.67,272.27
2025-04-30 11:00,36,30540,276.19,276.86,267.62,272.95
2025-04-30 12:00,51,167894,272.95,290.48,272.57,280
2025-04-30 13:00,47,112960,280,284.29,280,281.9
2025-04-30 14:00,51,80656,281.9,281.9,277.14,279.24
2025-05-04 11:00,60,607716,288.57,297.14,283.81,295.24
2025-05-04 12:00,60,274261,295.24,296.1,292.67,293.33
2025-05-04 13:00,60,168292,293.33,294.19,290.95,290.95
2025-05-04 14:00,60,206312,290.95,292.38,288.95,291.26
2025-05-05 11:00,58,153441,291.43,292.29,285.9,286.67
2025-05-05 12:00,51,120861,286.67,288.1,282.86,282.86
2025-05-05 13:00,46,69200,282.86,285.71,282.86,285.71
2025-05-05 14:00,49,84898,285.71,288.57,283.14,284.48
2025-05-06 11:00,55,98625,289.43,291.43,285.71,290
2025-05-06 12:00,50,174621,290,292.38,286.67,288.86
2025-05-06 13:00,51,116923,288.86,290.95,287.62,290
2025-05-06 14:00,55,173910,290,291.14,285.71,290.09
2025-05-07 11:00,59,242338,292.66,297.14,291.43,296.19
2025-05-07 12:00,57,182862,296.19,297.24,294.19,295.24
2025-05-07 13:00,58,221115,295.24,300,295.24,298.95
2025-05-07 14:00,57,159739,298.95,299.05,295.71,296.42
2025-05-08 11:00,57,85270,300,300,290.48,293.33
2025-05-08 12:00,53,199979,293.33,300,292.48,299.9
