date_np,bars,volume,open,high,low,close
2025-08-20,26,320,292.1,321.3,292.1,321.3
2025-08-21,42,490,320,353.4,320,353.4
2025-08-24,43,545,346.8,388.7,346.8,388.7
2025-08-25,59,885,383.2,427.5,383.2,427.5
2025-08-26,57,750,436,470.2,436,470.2
2025-08-27,140,2420,477,517.2,477,517.2
2025-08-28,240,34970,527.5,568.9,527.5,568.9
2025-08-31,240,328282,580.2,593,526,542.27
2025-09-01,240,176864,522,526.6,513,515.8
2025-09-02,240,75879,506,507.1,493,494.94
2025-09-03,240,71659,485.6,513,472.4,483.06
2025-09-04,240,57229,474,499,474,495.24
2025-09-07,239,52696,490,495.9,475,475.82
2025-09-08,183,53608,475.8,483.8,455.2,458.92
2025-09-18,5,1814,449.8,449.8,413.1,416
2025-09-21,237,45519,410,444,405.1,437.52
2025-09-23,229,40917,437,453,437,449.8
2025-09-24,225,36839,449.8,469.2,433.1,461
2025-09-25,198,47055,470,477,450.1,459
2025-09-28,215,20632,455,462.1,451.2,459
2025-10-07,228,34673,459,459,440,444.9
2025-10-08,208,32690,444.9,444.9,426.7,432
2025-10-09,198,26983,440,460,430.2,432
2025-10-12,214,34247,423.5,440.5,407.1,410
2025-10-13,202,28114,408.1,423.4,403,420
2025-10-14,192,14035,416,420,408.5,409.1
2025-10-15,178,21279,409,416.6,403.1,411.7
2025-10-16,156,22993,411,411,397.8,400
2025-10-19,136,11705,400,424,397.2,407.9
2025-10-26,132,8288,415,415,400,402
2025-10-28,164,21817,394,418.9,394,418.9
2025-10-29,171,23621,412.1,430,412,415
2025-10-30,185,40896,409,445,409,437.3
2025-11-02,214,40403,440,446,432,441
2025-11-03,180,32879,433.1,447.8,429,437
2025-11-04,181,21850,433,445,420,427
2025-11-05,164,18083,422,430,415,424
2025-11-06,167,19186,424,430,418.2,422.1
2025-11-09,200,56050,419.1,450,416,439.9
2025-11-10,196,26547,441,448,428.6,433.3
2025-11-11,223,81917,425.1,459.9,425.1,450
2025-11-12,227,27435,443,455,437.2,445
2025-11-13,206,37162,436.9,456.9,436.9,447
2025-11-16,206,21049,447,454.9,432,440
2025-11-17,211,26235,432.1,445,432.1,445
2025-11-18,216,62716,449,465,446,464
2025-11-19,217,124282,463,490,463,488
2025-11-20,227,94449,490,505,468.5,469.5
2025-11-23,222,58078,469.5,487,465.3,477.1
2025-11-24,220,52082,467.6,493,467.6,480
2025-11-25,235,41107,479,480,468.2,473.7
2025-11-26,227,41468,471.5,489.4,468.7,483.4
2025-11-27,223,73026,485,492.7,478.1,487.8
2025-11-30,229,93046,485,503,485,490
2025-12-01,206,68130,490,496,477.2,479.9
2025-12-02,205,99073,478,512,473.1,511
2025-12-03,234,139422,511,545,505,527
2025-12-07,235,104380,527,527,500,506.9
2025-12-08,238,122440,506,535,501.5,528
2025-12-09,197,75017,517.5,547.5,517.5,538.9
2025-12-10,215,98999,530,533.4,517.1,531.2
2025-12-11,230,133391,531.4,556.6,517.1,517.1
2025-12-14,234,97566,525,525,500.2,512
2025-12-15,223,79709,502.1,513,501,507.9
2025-12-16,225,74667,501,510,496,508.2
2025-12-17,215,69193,505,513,497.3,497.3
2025-12-18,224,100733,502,503.9,484.1,485
2025-12-21,232,79997,475.3,486,468,475.9
2025-12-22,221,46456,476,489,467.5,489
2025-12-23,202,48033,480.1,490,477.1,487
