hour_np,bars,volume,open,high,low,close
2025-08-20 11:00,9,120,292.1,321.3,292.1,321.3
2025-08-20 12:00,8,80,321.3,321.3,321.3,321.3
2025-08-20 13:00,5,50,321.3,321.3,321.3,321.3
2025-08-20 14:00,4,70,321.3,321.3,321.3,321.3
2025-08-21 11:00,17,220,320,353.4,320,353.4
2025-08-21 12:00,7,60,353.4,353.4,353.4,353.4
2025-08-21 13:00,10,120,353.4,353.4,353.4,353.4
2025-08-21 14:00,8,90,353.4,353.4,353.4,353.4
2025-08-24 11:00,13,190,346.8,388.7,346.8,388.7
2025-08-24 12:00,12,130,388.7,388.7,388.7,388.7
2025-08-24 13:00,7,90,388.7,388.7,388.7,388.7
2025-08-24 14:00,11,135,388.7,388.7,388.7,388.7
2025-08-25 11:00,23,400,383.2,427.5,383.2,427.5
2025-08-25 12:00,15,160,427.5,427.5,427.5,427.5
2025-08-25 13:00,5,60,427.5,427.5,427.5,427.5
2025-08-25 14:00,16,265,427.5,427.5,427.5,427.5
2025-08-26 11:00,24,390,436,470.2,436,470.2
2025-08-26 12:00,15,160,470.2,470.2,470.2,470.2
2025-08-26 13:00,10,120,470.2,470.2,470.2,470.2
2025-08-26 14:00,8,80,470.2,470.2,470.2,470.2
2025-08-27 11:00,48,1200,477,517.2,477,517.2
2025-08-27 12:00,30,360,517.2,517.2,517.2,517.2
2025-08-27 13:00,30,400,517.2,517.2,517.2,517.2
2025-08-27 14:00,32,460,517.2,517.2,517.2,517.2
2025-08-28 11:00,60,15100,527.5,568.9,527.5,568.9
2025-08-28 12:00,60,6010,568.9,568.9,568.9,568.9
2025-08-28 13:00,60,5600,568.9,568.9,568.9,568.9
2025-08-28 14:00,60,8260,568.9,568.9,568.9,568.9
2025-08-31 11:00,60,173900,580.2,593,526,592
2025-08-31 12:00,60,58910,592,592,540,540.1
2025-08-31 13:00,60,38400,540.1,548,540.1,543.1
2025-08-31 14:00,60,57072,543.1,553.1,541.9,542.27
2025-09-01 11:00,60,74810,522,524,515,517
2025-09-01 12:00,60,39386,517,526.6,515.9,517.1
2025-09-01 13:00,60,29070,517.1,518,513,514
2025-09-01 14:00,60,33598,514,526,514,515.8
2025-09-02 11:00,60,31140,506,507.1,496.9,501.1
2025-09-02 12:00,60,15760,501.1,502,495.2,495.3
2025-09-02 13:00,60,13740,495.3,496,493,494.1
2025-09-02 14:00,60,15239,494.1,496.2,493.5,494.94
2025-09-03 11:00,60,35186,485.6,513,472.4,492.1
2025-09-03 12:00,60,8515,492.1,495.9,492,493
2025-09-03 13:00,60,12060,493,493.1,482.5,485
2025-09-03 14:00,60,15898,485,486.1,482.5,483.06
2025-09-04 11:00,60,13091,474,484.5,474,481.5
2025-09-04 12:00,60,11770,481.5,483.1,477,477
2025-09-04 13:00,60,9850,477,480,477,478.3
2025-09-04 14:00,60,22518,478.3,499,478,495.24
2025-09-07 11:00,60,10077,490,495.9,482.3,483.1
2025-09-07 12:00,59,6250,483.1,491,482.8,488.1
2025-09-07 13:00,60,10870,488.1,492,483.4,483.4
2025-09-07 14:00,60,25499,483.4,483.4,475,475.82
2025-09-08 11:00,60,8350,475.8,483.8,470,474.7
2025-09-08 12:00,39,15855,474.7,475.2,466,466
2025-09-08 13:00,29,9676,466,466,457.2,457.3
2025-09-08 14:00,55,19727,457.3,468,455.2,458.92
2025-09-18 11:00,2,170,449.8,449.8,440.9,440.9
2025-09-18 12:00,2,684,440.9,440.9,413.1,413.1
2025-09-18 14:00,1,960,413.1,416,413.1,416
2025-09-21 11:00,60,20600,410,433.1,405.1,426
2025-09-21 12:00,60,10207,426,444,423.1,440
2025-09-21 13:00,58,7965,440,444,432,435
2025-09-21 14:00,59,6747,435,442,435,437.52
2025-09-23 11:00,59,14683,437,450,437,450
2025-09-23 12:00,54,6473,450,451,445.3,445.3
2025-09-23 13:00,57,9016,445.3,453,444.3,447
2025-09-23 14:00,59,10745,447,452,445.1,449.8
2025-09-24 11:00,53,7271,449.8,450.1,433.1,446
2025-09-24 12:00,58,5242,446,450,445.1,445.6
2025-09-24 13:00,57,9483,445.6,469.2,445.6,457
2025-09-24 14:00,57,14843,457,464,450.1,461
2025-09-25 11:00,52,6060,470,470,450.1,461.4
2025-09-25 12:00,48,11635,461.4,475,461.4,464
2025-09-25 13:00,45,5234,464,465,461.3,461.3
2025-09-25 14:00,53,24126,461.3,477,459,459
2025-09-28 11:00,54,3220,455,461.5,451.2,456.3
2025-09-28 12:00,56,5160,456.3,460,455.1,456.2
2025-09-28 13:00,51,4310,456.2,462.1,456.2,461.5
2025-09-28 14:00,54,7942,461.5,461.5,456.1,459
2025-10-07 11:00,59,9693,459,459,446.6,446.6
2025-10-07 12:00,58,12410,446.6,449.9,440,441
2025-10-07 13:00,52,5698,441,445,440,440.2
2025-10-07 14:00,59,6872,440.2,444.9,440,444.9
2025-10-08 11:00,57,5143,444.9,444.9,430.3,433.3
2025-10-08 12:00,52,8100,433.3,435,430,430
2025-10-08 13:00,49,12797,430,431.1,426.7,427.3
2025-10-08 14:00,50,6650,427.3,438.5,427.3,432
2025-10-09 11:00,39,7305,440,460,438,448
2025-10-09 12:00,54,9288,448,448,438.4,440
2025-10-09 13:00,52,2143,440,441.5,435.3,435.3
2025-10-09 14:00,53,8247,435.3,440,430.2,432
2025-10-12 11:00,58,7946,423.5,440.5,411,417.5
2025-10-12 12:00,49,8645,417.5,418,410.4,415
2025-10-12 13:00,52,3547,415,416,413,414.2
2025-10-12 14:00,55,14109,414.2,415,407.1,410
2025-10-13 11:00,49,4461,408.1,416,403,412
2025-10-13 12:00,48,3190,412,415,408.3,413.2
2025-10-13 13:00,49,10793,413.2,420.5,410.6,419
2025-10-13 14:00,56,9670,419,423.4,410.8,420
2025-10-14 11:00,47,4591,416,420,410,410.3
2025-10-14 12:00,44,1856,410.3,414.9,408.5,409
2025-10-14 13:00,48,1610,409,414,408.7,410.6
2025-10-14 14:00,53,5978,410.6,411,409.1,409.1
2025-10-15 11:00,42,2380,409,416.6,403.1,406
2025-10-15 12:00,47,5620,406,413,406,407.3
2025-10-15 13:00,40,5055,407.3,415,407.3,411
2025-10-15 14:00,49,8224,411,415,409.2,411.7
2025-10-16 11:00,36,1360,411,411,405.1,406.8
2025-10-16 12:00,43,3813,406.8,408.5,405,405.1
2025-10-16 13:00,39,8508,405.1,408.9,399.1,399.6
2025-10-16 14:00,38,9312,399.6,405.9,397.8,400
2025-10-19 11:00,28,911,400,405,397.2,405
2025-10-19 12:00,31,2065,405,405,400.3,400.3
2025-10-19 13:00,40,2111,400.3,405,400,403
2025-10-19 14:00,37,6618,403,424,403,407.9
2025-10-26 11:00,26,1452,415,415,400,400.1
2025-10-26 12:00,27,571,400.1,405,400.1,405
2025-10-26 13:00,35,1180,405,408,403,403
2025-10-26 14:00,44,5085,403,408.7,400.5,402
2025-10-28 11:00,34,5440,394,413,394,407.3
2025-10-28 12:00,46,8514,407.3,415,407.3,410
2025-10-28 13:00,39,3087,410,415,410,413
2025-10-28 14:00,45,4776,413,418.9,413,418.9
2025-10-29 11:00,46,9586,412.1,430,412.1,420
2025-10-29 12:00,43,3010,420,424.9,417,418
2025-10-29 13:00,39,5472,418,420,415,416.2
2025-10-29 14:00,43,5553,416.2,418.9,412,415
2025-10-30 11:00,37,1050,409,415,409,411.1
2025-10-30 12:00,45,5010,411.1,423,410.5,420
2025-10-30 13:00,45,13099,420,435,413.6,427
2025-10-30 14:00,58,21737,427,445,427,437.3
2025-11-02 11:00,52,8430,440,446,432,440
2025-11-02 12:00,52,9870,440,446,438.2,440
2025-11-02 13:00,54,13381,440,445.9,440,440
2025-11-02 14:00,56,8722,440,441,435,441
2025-11-03 11:00,39,9069,433.1,447.8,433.1,441.4
2025-11-03 12:00,50,10940,441.4,441.4,434.8,435
2025-11-03 13:00,45,8420,435,438,429,429.1
2025-11-03 14:00,46,4450,429.1,438,429.1,437
2025-11-04 11:00,39,2618,433,445,432.2,445
2025-11-04 12:00,52,4794,445,445,431,431.1
2025-11-04 13:00,44,5304,431.1,434,430,431.2
2025-11-04 14:00,46,9134,431.2,434.9,420,427
2025-11-05 11:00,45,2680,422,430,422,423.2
2025-11-05 12:00,41,950,423.2,426,423.2,425
2025-11-05 13:00,37,11849,425,428,415,417
2025-11-05 14:00,41,2604,417,428,417,424
2025-11-06 11:00,37,4130,424,428,418.2,428
2025-11-06 12:00,43,3800,428,430,422.5,425
2025-11-06 13:00,38,2080,425,425,421,421
2025-11-06 14:00,49,9176,421,425,419,422.1
2025-11-09 11:00,40,7149,419.1,426,416,423
2025-11-09 12:00,48,5580,423,427,421.6,423.7
2025-11-09 13:00,55,20792,423.7,450,423.2,441.2
2025-11-09 14:00,57,22529,441.2,447,436.2,439.9
2025-11-10 11:00,55,12669,441,448,438,440
2025-11-10 12:00,49,4841,440,442,432,434.3
2025-11-10 13:00,40,2327,434.3,436.5,431.5,435
2025-11-10 14:00,52,6710,435,435,428.6,433.3
2025-11-11 11:00,54,2735,425.1,438.4,425.1,429
2025-11-11 12:00,55,19139,429,451.8,428.2,445
2025-11-11 13:00,60,46306,445,459.9,445,450
2025-11-11 14:00,54,13737,450,452,447,450
2025-11-12 11:00,58,5101,443,455,443,448
2025-11-12 12:00,59,5334,448,450,445,448
2025-11-12 13:00,53,5961,448,450,442.3,442.5
2025-11-12 14:00,57,11039,442.5,446.5,437.2,445
2025-11-13 11:00,53,4346,436.9,440,436.9,437.8
2025-11-13 12:00,50,5605,437.8,440.5,437.8,438.5
2025-11-13 13:00,48,7345,438.5,450,438.4,450
2025-11-13 14:00,55,19866,450,456.9,445.5,447
2025-11-16 11:00,54,4543,447,454.9,440.1,441
2025-11-16 12:00,50,1957,441,441,440.2,440.2
2025-11-16 13:00,46,1790,440.2,442,440.2,441.1
2025-11-16 14:00,56,12759,441.1,442,432,440
2025-11-17 11:00,51,1900,432.1,440.2,432.1,440
2025-11-17 12:00,54,7755,440,443,437,437
2025-11-17 13:00,52,3202,437,442,436.5,439.1
2025-11-17 14:00,54,13378,439.1,445,438,445
2025-11-18 11:00,57,20051,449,460,446,453.6
2025-11-18 12:00,52,7096,453.6,457,452.2,454
2025-11-18 13:00,49,21889,454,465,453.6,462.3
2025-11-18 14:00,58,13680,462.3,464,458.4,464
2025-11-19 11:00,51,26562,463,478,463,478
2025-11-19 12:00,59,38924,478,490,477.3,477.4
2025-11-19 13:00,54,27094,477.4,481,467.8,479.9
2025-11-19 14:00,53,31702,479.9,489.7,476.7,488
2025-11-20 11:00,59,12308,490,492.8,482.1,483.2
2025-11-20 12:00,55,26671,483.2,505,483.2,502.1
2025-11-20 13:00,56,16650,502.1,502.5,492,492
2025-11-20 14:00,57,38820,492,492,468.5,469.5
2025-11-23 11:00,59,20769,469.5,478.8,465.3,474
2025-11-23 12:00,56,12064,474,480,473,480
2025-11-23 13:00,51,10906,480,487,476.7,480.1
2025-11-23 14:00,56,14339,480.1,485,476,477.1
2025-11-24 11:00,56,14920,467.6,493,467.6,481.5
2025-11-24 12:00,55,7372,481.5,491,481.1,485.2
2025-11-24 13:00,51,10815,485.2,485.2,477.1,479
2025-11-24 14:00,58,18975,479,480,473,480
2025-11-25 11:00,60,9421,479,480,473.6,474
2025-11-25 12:00,58,8363,474,476,474,474.3
2025-11-25 13:00,57,7147,474.3,474.3,470.1,471.2
2025-11-25 14:00,60,16176,471.2,475,468.2,473.7
2025-11-26 11:00,54,8345,471.5,480,468.7,472
2025-11-26 12:00,55,4685,472,479,471,477.1
2025-11-26 13:00,59,15703,477.1,489.4,477.1,481.3
2025-11-26 14:00,59,12735,481.3,483.4,473,483.4
2025-11-27 11:00,54,4926,485,485,478.3,482.9
2025-11-27 12:00,55,13664,482.9,484.9,478.1,480.4
2025-11-27 13:00,59,23680,480.4,490,480.4,487
2025-11-27 14:00,55,30756,487,492.7,483.7,487.8
2025-11-30 11:00,57,22729,485,502,485,499
2025-11-30 12:00,60,30735,499,503,497,498.1
2025-11-30 13:00,57,19044,498.1,501,493.2,494.1
2025-11-30 14:00,55,20538,494.1,498,486.1,490
2025-12-01 11:00,54,22115,490,496,486.1,488.3
2025-12-01 12:00,48,9575,488.3,490,485,488
2025-12-01 13:00,49,11030,488,492,482.3,482.7
2025-12-01 14:00,55,25410,482.7,488,477.2,479.9
2025-12-02 11:00,45,2586,478,484,473.1,481.1
2025-12-02 12:00,47,5706,481.1,487.5,478.9,483.6
2025-12-02 13:00,53,29926,483.6,497,481.1,493.1
2025-12-02 14:00,60,60855,493.1,512,493.1,511
2025-12-03 11:00,58,35951,511,520,505,515
2025-12-03 12:00,60,52849,515,545,515,530.1
2025-12-03 13:00,59,18198,530.1,537,525.2,529
2025-12-03 14:00,57,32424,529,534,525.1,527
2025-12-07 11:00,59,44984,527,527,512.6,518
2025-12-07 12:00,60,18230,518,518,511,511
2025-12-07 13:00,56,13385,511,515,507,510
2025-12-07 14:00,60,27781,510,510,500,506.9
2025-12-08 11:00,60,31677,506,518,501.5,514.1
2025-12-08 12:00,59,28798,514.1,520,508.1,520
2025-12-08 13:00,60,33799,520,535,520,520
2025-12-08 14:00,59,28166,520,529,516.2,528
2025-12-09 11:00,56,13727,517.5,541,517.5,534.2
2025-12-09 12:00,58,31470,534.2,547.5,534.2,535
2025-12-09 13:00,26,8690,535,536,533.4,536
2025-12-09 14:00,57,21130,536,539,534,538.9
2025-12-10 11:00,57,10439,530,533.4,523.4,524.2
2025-12-10 12:00,60,21192,524.2,529,523.5,525.1
