date_np,bars,volume,open,high,low,close
2025-04-24,1,10567,613,616.56,613,616.56
2025-04-27,224,892650,621,642,618.1,627.17
2025-04-28,223,724284,635,635,615,618.05
2025-04-29,232,720670,624,665,620.8,661.3
2025-04-30,218,869518,674.2,695,666,667.89
2025-05-04,229,780400,662,672.5,647,651.66
2025-05-05,232,1114755,658.1,700,658.1,699.37
2025-05-06,218,542259,711,719,692.1,697.24
2025-05-07,214,608727,697,722,695.4,713.44
2025-05-08,209,603601,720,739,700,703.24
2025-05-11,231,899951,715,746,712.1,736.58
2025-05-13,222,611658,740,769,740,752.22
2025-05-14,232,811135,751.9,763,711,714.8
2025-05-15,224,613029,729,734,711.2,716.86
2025-05-18,225,688174,739,739,688,690.03
2025-05-19,230,836912,700,730,693.1,724.24
2025-05-20,212,562466,728,757,721.3,747.56
2025-05-21,229,925606,770,779,748,773.75
2025-05-22,227,784158,766,792,760.1,768.65
2025-05-25,231,917496,770.1,795.2,761,791.76
2025-05-26,235,799549,805.3,814.4,791,801.77
2025-05-27,211,592187,796,812,790.1,793.57
2025-05-28,228,763046,793.3,802.9,777,780.96
2025-06-02,221,838753,780,792,765.3,771.41
2025-06-03,192,765919,779.7,797,773.6,778.96
2025-06-04,193,379897,785,793.7,780,786.45
2025-06-05,227,1119113,792,850,785,845.87
2025-06-08,231,874768,849.9,850,820.3,824.41
2025-06-09,217,750435,824.4,843,817,826.55
2025-06-10,207,561434,840,841.9,820.2,823.2
2025-06-11,222,727159,829.9,864.6,825.1,844.45
2025-06-12,225,638035,861.3,864.9,838,840.59
2025-06-15,212,600333,846,865,829,831.1
2025-06-16,220,660373,840,840,803.5,805.88
2025-06-17,209,464520,806,836,806,829.78
2025-06-18,201,352422,832,854,830.1,835.89
2025-06-19,211,431363,840,845,811.1,812.92
2025-06-22,216,957892,820,829,784.2,786.95
2025-06-23,226,640106,802.6,835,785,825.22
2025-06-24,182,293864,841,841,799,803.9
2025-06-25,183,310295,805,815.5,793,800.28
2025-06-26,199,497210,798,810,780.1,781.11
2025-06-29,180,272748,780,793,772.2,777.06
2025-06-30,155,188005,773.4,790,773.4,781.34
2025-07-01,206,564638,781,815.8,781,804.73
2025-07-02,181,339306,807,810,792,793.88
2025-07-03,185,295094,795,795,778,780.04
2025-07-06,152,180578,788,790,770,772.76
2025-07-07,147,183026,765,785,765,769.95
2025-07-08,161,293773,754.6,794,754.6,788.79
2025-07-09,195,582106,815,815.9,790.1,791.3
2025-07-10,170,216736,796,796,776.1,779.41
2025-07-13,156,287277,794,794,765.2,766.23
2025-07-14,158,204916,781.5,781.5,761.1,763.78
2025-07-15,213,551457,750,809,750,802.3
2025-07-16,216,694292,810,831,803,810.24
2025-07-17,209,676717,836.9,850.9,825,832.96
2025-07-20,223,558110,833,835,810,812.53
2025-07-21,199,367590,810,819,797,809.27
2025-07-22,212,378671,824,825.4,810,810.6
2025-07-23,202,367552,810.7,822.2,808,813.64
2025-07-24,232,898348,816.1,884,816.1,870.54
2025-07-27,221,575630,880,900,851,851.96
2025-07-28,207,371808,850,864,840,845.76
2025-07-29,212,577425,860,881,845.1,848.24
2025-07-30,195,369352,865,865,825.1,828.23
2025-07-31,181,234509,811.7,842,811.7,821.25
2025-08-03,185,208380,825,832,809.1,811.12
2025-08-04,179,157701,827.3,827.3,800,806.31
2025-08-05,168,188175,817.9,817.9,778,783.08
2025-08-06,159,164128,795,805,783,792.02
2025-08-07,165,156996,800,804,794,797.27
2025-08-11,131,121012,810.4,810.4,765,768.71
2025-08-12,128,133340,784,784,757.2,762.28
2025-08-13,132,121358,776.3,776.3,760.1,764.22
2025-08-14,156,265370,776,800,763.6,798.08
2025-08-17,160,193245,800,800,772.1,772.43
2025-08-18,107,75769,783,783,768,776.02
2025-08-19,118,265372,791.1,791.1,760,767.34
2025-08-20,115,157783,767,777,767,769.34
2025-08-21,98,82287,767.9,773,765,766.87
2025-08-24,108,146502,766,774,745,752.34
2025-08-25,124,235342,760,765,742,756.85
2025-08-26,77,62620,759.9,764.9,755,756.21
2025-08-27,156,133264,771.3,780,757,775.56
2025-08-28,147,165617,778.5,787.9,760,761.34
2025-08-31,103,80465,760,769,751.1,756.05
2025-09-01,92,79974,771,771,753,762.62
2025-09-02,88,61303,760,766,755,758.05
2025-09-03,93,85176,742.9,759.8,742.9,753.36
2025-09-04,115,80933,768.4,768.4,750,762.11
2025-09-07,111,115016,777.3,777.3,759.1,760.75
2025-09-08,89,97982,775.9,775.9,750.1,752.11
2025-09-18,9,32686,723,723,695.1,709
2025-09-21,143,157100,694.9,750,694.9,740.92
2025-09-23,118,105869,741,766.9,741,761
2025-09-24,86,76306,776,776,742,755
2025-09-25,90,46845,770.1,770.1,745.2,746
2025-09-28,80,57305,760,760,745,751
2025-10-07,117,145205,751,751,701,709
2025-10-08,141,127352,723.1,723.1,686.7,690
2025-10-09,110,110975,716,728.9,693,694
2025-10-12,176,254238,707.8,707.8,630,635
2025-10-13,128,116917,647,670,635.1,670
2025-10-14,89,97188,673,677.8,648,660
2025-10-15,96,115399,655,657,640,642
2025-10-16,87,91798,654.8,654.8,631,631.6
2025-10-19,81,66641,644.2,646.9,618.8,639
2025-10-26,125,91244,650,660,636,659.7
2025-10-28,184,312700,659,725.6,659,723
2025-10-29,184,304365,710,748.5,710,728
2025-10-30,215,497142,714,774.4,714,767
2025-11-02,207,317605,777,787,755.1,755.1
2025-11-03,184,321965,760,778,751.1,775
2025-11-04,173,287357,790.5,799,766.5,770
2025-11-05,176,402698,785.4,800,766,796
2025-11-06,193,384633,807,812,790.1,792
2025-11-09,180,277297,784,795,775.3,777
2025-11-10,143,228008,792.5,792.5,766,779
2025-11-11,181,418689,789.9,789.9,762.4,769
2025-11-12,169,294796,765,774,740,745
2025-11-13,148,126253,735,748.1,735,740
2025-11-16,133,112346,740,744.6,721.2,722
2025-11-17,179,206685,736.4,759.8,721,750.1
2025-11-18,141,127990,765.1,771,749,749
2025-11-19,155,213662,763.9,763.9,740,743
2025-11-20,132,153662,730,758,730,747
2025-11-23,181,284912,748,776.5,748,769
2025-11-24,153,188899,784.3,784.3,764,769
2025-11-25,128,129174,784.3,784.3,754,769
2025-11-26,115,184861,784,784,747.2,749
2025-11-27,114,111779,763.9,763.9,743.1,744.9
2025-11-30,121,128864,755,758,735,737.1
2025-12-01,94,77961,751.8,751.8,731.3,733
2025-12-02,75,49368,745,745,736,738.6
2025-12-03,110,102123,753,753,732,735
2025-12-07,88,83963,731,734,722.1,724
2025-12-08,109,125803,738.4,738.4,716.3,717.1
2025-12-09,95,137040,711.1,735,711.1,731
2025-12-10,83,69244,740,741.2,725,725.3
2025-12-11,80,50101,721,732.8,719.5,722.2
2025-12-14,92,88741,718.1,730,714,720
2025-12-15,88,53450,713.5,724,713.5,721
2025-12-16,131,102396,720,725,712,721
2025-12-17,117,127945,719.1,734,719.1,732.9
2025-12-18,187,246124,747,753,732,748
