hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,10567,613,616.56,613,616.56
2025-04-27 11:00,56,352426,621,637,618.1,627
2025-04-27 12:00,58,199346,627,640,621.1,640
2025-04-27 13:00,55,162132,640,642,628,633.4
2025-04-27 14:00,55,178746,633.4,637.9,623,627.17
2025-04-28 11:00,56,226159,635,635,619.1,626
2025-04-28 12:00,54,118330,626,627,618,621.7
2025-04-28 13:00,59,255616,621.7,632,615,626
2025-04-28 14:00,54,124179,626,626,617,618.05
2025-04-29 11:00,59,160248,624,635,620.8,629.9
2025-04-29 12:00,59,320500,629.9,665,626.1,659
2025-04-29 13:00,57,75995,659,662.7,654.1,658.3
2025-04-29 14:00,57,163927,658.3,663,655,661.3
2025-04-30 11:00,59,520319,674.2,695,674.2,684
2025-04-30 12:00,52,61781,684,687.8,680,680
2025-04-30 13:00,49,117021,680,680,666.1,670
2025-04-30 14:00,58,170397,670,674.9,666,667.89
2025-05-04 11:00,59,207949,662,672.5,658,666
2025-05-04 12:00,56,124173,666,668.4,660.5,660.5
2025-05-04 13:00,55,145053,660.5,662.7,656.2,656.2
2025-05-04 14:00,59,303225,656.2,659,647,651.66
2025-05-05 11:00,59,522128,658.1,684,658.1,684
2025-05-05 12:00,59,207969,684,692,680,682
2025-05-05 13:00,57,188481,682,699,676.7,693.1
2025-05-05 14:00,57,196177,693.1,700,692.5,699.37
2025-05-06 11:00,56,145875,711,719,700,707
2025-05-06 12:00,49,93068,707,716,706,708
2025-05-06 13:00,54,161335,708,708.9,695.1,706
2025-05-06 14:00,59,141981,706,706,692.1,697.24
2025-05-07 11:00,55,151073,697,710,697,701.4
2025-05-07 12:00,50,99284,701.4,706,695.4,700
2025-05-07 13:00,57,223575,700,720,699.2,720
2025-05-07 14:00,52,134795,720,722,712,713.44
2025-05-08 11:00,57,193011,720,736,703,734.9
2025-05-08 12:00,51,56261,734.9,739,729,734.8
2025-05-08 13:00,43,55316,734.8,736,726.5,730
2025-05-08 14:00,58,299013,730,730,700,703.24
2025-05-11 11:00,60,305561,715,738.9,712.1,732.1
2025-05-11 12:00,59,255507,732.1,746,725,741.2
2025-05-11 13:00,55,117177,741.2,745,733,739.3
2025-05-11 14:00,57,221706,739.3,741.7,725.1,736.58
2025-05-13 11:00,59,208285,740,769,740,760
2025-05-13 12:00,57,89517,760,768,756,756
2025-05-13 13:00,55,96008,756,767.9,755,760
2025-05-13 14:00,51,217848,760,764,750,752.22
2025-05-14 11:00,56,168252,751.9,763,740,745
2025-05-14 12:00,60,252094,745,745,727.4,734
2025-05-14 13:00,57,168506,734,739,717.9,725
2025-05-14 14:00,59,222283,725,727,711,714.8
2025-05-15 11:00,60,183662,729,729,711.2,721
2025-05-15 12:00,58,139731,721,734,719.4,734
2025-05-15 13:00,53,87445,734,734,720.3,727
2025-05-15 14:00,53,202191,727,727.8,714,716.86
2025-05-18 11:00,56,134928,739,739,710.3,715
2025-05-18 12:00,54,100003,715,717.8,705,706.4
2025-05-18 13:00,60,210832,706.4,709,693,708.9
2025-05-18 14:00,55,242411,708.9,708.9,688,690.03
2025-05-19 11:00,58,180442,700,705,693.1,702.4
2025-05-19 12:00,60,334396,702.4,729.9,700,729.9
2025-05-19 13:00,54,120359,729.9,730,717,723
2025-05-19 14:00,58,201715,723,727,713,724.24
2025-05-20 11:00,53,124396,728,738,721.3,733
2025-05-20 12:00,48,122221,733,746.5,731,742
2025-05-20 13:00,52,124331,742,754,741,751
2025-05-20 14:00,59,191518,751,757,745,747.56
2025-05-21 11:00,60,265650,770,770,748,757
2025-05-21 12:00,54,308282,757,777,757,768.1
2025-05-21 13:00,55,133937,768.1,776,760.9,772
2025-05-21 14:00,60,217737,772,779,769,773.75
2025-05-22 11:00,58,178143,766,792,766,792
2025-05-22 12:00,54,186012,792,792,777,781
2025-05-22 13:00,57,172040,781,781,766,767.1
2025-05-22 14:00,58,247963,767.1,773.9,760.1,768.65
2025-05-25 11:00,59,225294,770.1,778.8,761,774.5
2025-05-25 12:00,54,242246,774.5,781.5,767.2,781.5
2025-05-25 13:00,58,113519,781.5,788.9,777,779.9
2025-05-25 14:00,60,336437,779.9,795.2,779,791.76
2025-05-26 11:00,59,218056,805.3,805.3,791,804
2025-05-26 12:00,59,282136,804,814.4,803,810
2025-05-26 13:00,58,109082,810,811,802,807
2025-05-26 14:00,59,190275,807,808,798,801.77
2025-05-27 11:00,59,177407,796,807.9,795,807
2025-05-27 12:00,50,86749,807,810,801.1,810
2025-05-27 13:00,48,78817,810,812,800.5,806
2025-05-27 14:00,54,249214,806,807,790.1,793.57
2025-05-28 11:00,55,163457,793.3,802.9,785,793
2025-05-28 12:00,56,136127,793,796.5,788.1,788.1
2025-05-28 13:00,59,176300,788.1,792,781.2,784
2025-05-28 14:00,58,287162,784,789,777,780.96
2025-06-02 11:00,53,166713,780,792,780,784.8
2025-06-02 12:00,59,158700,784.8,784.8,772,774.2
2025-06-02 13:00,50,292964,774.2,776.5,768,769
2025-06-02 14:00,59,220376,769,776,765.3,771.41
2025-06-03 11:00,43,283224,779.7,794,773.6,793.9
2025-06-03 12:00,47,155747,793.9,797,785.3,789.2
2025-06-03 13:00,46,146025,789.2,789.2,777,784
2025-06-03 14:00,56,180923,784,788,776.7,778.96
2025-06-04 11:00,50,101417,785,793.7,780,793.7
2025-06-04 12:00,46,70105,793.7,793.7,782,784.9
2025-06-04 13:00,44,80677,784.9,788.7,780,788
2025-06-04 14:00,53,127698,788,788.8,781.6,786.45
2025-06-05 11:00,50,189012,792,803,785,799.9
2025-06-05 12:00,60,401292,799.9,814.6,798,810
2025-06-05 13:00,58,262948,810,834,809.7,826
2025-06-05 14:00,59,265861,826,850,826,845.87
2025-06-08 11:00,60,316579,849.9,850,828.1,829
2025-06-08 12:00,56,155645,829,838.9,829,834
2025-06-08 13:00,55,101807,834,843,830.2,838
2025-06-08 14:00,60,300737,838,838,820.3,824.41
2025-06-09 11:00,55,177696,824.4,834.9,817,823
2025-06-09 12:00,52,141722,823,840,823,837.8
2025-06-09 13:00,54,179296,837.8,843,828,835
2025-06-09 14:00,56,251721,835,842,824.2,826.55
2025-06-10 11:00,55,112305,840,841.9,830,835
2025-06-10 12:00,48,92248,835,835,828,828
2025-06-10 13:00,49,129452,828,832,824,829
2025-06-10 14:00,55,227429,829,835,820.2,823.2
2025-06-11 11:00,50,114112,829.9,839,825.1,834
2025-06-11 12:00,58,301988,834,855,834,848
2025-06-11 13:00,57,168054,848,864.6,845,864.6
2025-06-11 14:00,57,143005,864.6,864.6,843.6,844.45
2025-06-12 11:00,55,119244,861.3,861.3,850.1,857
2025-06-12 12:00,58,128269,857,864.9,856.7,864.9
2025-06-12 13:00,54,140276,864.9,864.9,855,855
2025-06-12 14:00,58,250246,855,855,838,840.59
2025-06-15 11:00,57,164665,846,865,846,857
2025-06-15 12:00,54,129744,857,857.5,840.1,847
2025-06-15 13:00,42,46381,847,852.8,843.2,849
2025-06-15 14:00,59,259543,849,850,829,831.1
2025-06-16 11:00,54,93665,840,840,829,833.8
2025-06-16 12:00,56,188141,833.8,833.8,818,823
2025-06-16 13:00,53,163969,823,823,814,814
2025-06-16 14:00,57,214598,814,823,803.5,805.88
2025-06-17 11:00,55,121566,806,822,806,812
2025-06-17 12:00,50,88483,812,826.2,812,820
2025-06-17 13:00,49,90139,820,826.1,816,817
2025-06-17 14:00,55,164332,817,836,815,829.78
2025-06-18 11:00,58,100706,832,850,832,844.9
2025-06-18 12:00,50,106517,844.9,854,842,850.2
2025-06-18 13:00,40,44123,850.2,850.2,843.3,849
2025-06-18 14:00,53,101076,849,849,830.1,835.89
2025-06-19 11:00,49,68479,840,845,828,829
2025-06-19 12:00,49,106783,829,829.5,821.2,823.9
2025-06-19 13:00,55,109332,823.9,824,814,814
2025-06-19 14:00,58,146769,814,817.9,811.1,812.92
2025-06-22 11:00,56,203019,820,829,808,818.1
2025-06-22 12:00,58,121873,818.1,819,803,807.8
2025-06-22 13:00,47,461182,807.8,808,790,794
2025-06-22 14:00,55,171818,794,799.6,784.2,786.95
2025-06-23 11:00,54,119413,802.6,809,785,790.2
2025-06-23 12:00,58,235115,790.2,825,790.2,815
2025-06-23 13:00,57,116396,815,829.9,811,823.7
2025-06-23 14:00,57,169182,823.7,835,821,825.22
2025-06-24 11:00,52,51792,841,841,822.1,824
2025-06-24 12:00,46,62828,824,825,813,823
2025-06-24 13:00,38,62688,823,823,815,815
2025-06-24 14:00,46,116556,815,815,799,803.9
2025-06-25 11:00,46,50560,805,813,795,795
2025-06-25 12:00,48,68015,795,812,793,805
2025-06-25 13:00,43,80229,805,815.5,799.6,799.6
2025-06-25 14:00,46,111491,799.6,806,799,800.28
2025-06-26 11:00,39,63737,798,810,795,800
2025-06-26 12:00,49,92032,800,800,790,793
2025-06-26 13:00,55,147160,793,794,784.4,788
2025-06-26 14:00,56,194281,788,790,780.1,781.11
2025-06-29 11:00,48,94308,780,791,772.2,773.3
2025-06-29 12:00,49,84462,773.3,793,773,785
2025-06-29 13:00,35,34110,785,785,778.3,778.3
2025-06-29 14:00,48,59868,778.3,785,775.2,777.06
2025-06-30 11:00,36,20181,773.4,787,773.4,780.5
2025-06-30 12:00,36,29845,780.5,785,777.3,777.5
2025-06-30 13:00,33,33328,777.5,780,775,777
2025-06-30 14:00,50,104651,777,790,777,781.34
2025-07-01 11:00,51,115108,781,808,781,807.9
2025-07-01 12:00,54,165185,807.9,815,805,814
2025-07-01 13:00,48,188799,814,815.8,805,805
2025-07-01 14:00,53,95546,805,808.9,797.6,804.73
2025-07-02 11:00,46,100312,807,810,796.4,798
2025-07-02 12:00,47,79909,798,801,794,794
2025-07-02 13:00,45,67697,794,798,792.1,793.6
2025-07-02 14:00,43,91388,793.6,798,792,793.88
2025-07-03 11:00,41,50745,795,795,785.3,787
2025-07-03 12:00,40,53582,787,789,779,785
2025-07-03 13:00,48,77869,785,785,778,782
2025-07-03 14:00,56,112898,782,786,779,780.04
2025-07-06 11:00,38,32848,788,790,776.2,779
2025-07-06 12:00,34,27909,779,785,777,782
2025-07-06 13:00,33,43512,782,782,772,772
2025-07-06 14:00,47,76309,772,777,770,772.76
2025-07-07 11:00,33,23502,765,779.9,765,773.7
2025-07-07 12:00,38,55124,773.7,785,773.7,777.8
2025-07-07 13:00,32,28649,777.8,780,775,777
2025-07-07 14:00,44,75751,777,777.8,768,769.95
2025-07-08 11:00,34,24071,754.6,777,754.6,777
2025-07-08 12:00,48,90470,777,794,774.2,780
2025-07-08 13:00,27,64831,780,790,780,785
2025-07-08 14:00,52,114401,785,794,785,788.79
2025-07-09 11:00,59,261790,815,815.9,804,804
2025-07-09 12:00,41,112132,804,805.1,795,798.1
2025-07-09 13:00,44,52536,798.1,801,796.1,797.5
2025-07-09 14:00,51,155648,797.5,797.8,790.1,791.3
2025-07-10 11:00,43,50920,796,796,788,792
2025-07-10 12:00,44,59493,792,792,779.1,780
2025-07-10 13:00,35,25584,780,781.7,776.1,780
2025-07-10 14:00,48,80739,780,781,776.5,779.41
2025-07-13 11:00,41,108579,794,794,770.9,772.1
