date_np,bars,volume,open,high,low,close
2025-04-24,1,700,394,394,393.56,393.56
2025-04-27,99,68497,398.3,401.7,393.4,397.76
2025-04-28,95,63303,399,400,386,389.46
2025-04-29,172,246372,397,428,391,408.73
2025-04-30,106,70973,416.9,416.9,401,402.53
2025-05-04,107,60321,410.5,410.5,392,393.86
2025-05-05,83,42033,401.7,401.7,387,388.95
2025-05-06,108,54014,396,396,382.2,390.49
2025-05-07,146,129793,406.1,414.2,395.1,406.62
2025-05-08,126,72512,414.7,414.7,398.5,405.81
2025-05-11,109,59234,410,413,398.5,399.27
2025-05-13,105,50231,402,404.9,394.73,394.73
2025-05-14,87,33560,399,399,383.3,384.48
2025-05-15,94,62088,382,388,382,383.95
2025-05-18,70,52998,390,390,380,380.54
2025-05-19,97,36806,380,387,380,380.29
2025-05-20,92,40751,377,391.12,377,391.12
2025-05-21,95,29670,403,405,385.3,385.8
2025-05-22,90,44904,385.8,389.8,379,380.59
2025-05-25,77,26987,380.5,385,378,378.92
2025-05-26,87,17808,386.4,386.4,375,377.47
2025-05-27,84,41395,377,384,372,376.89
2025-05-28,87,27455,383,383.9,376.1,379.61
2025-06-02,110,43809,385,386,375,379.08
2025-06-03,72,30414,377.1,384.9,373,374.77
2025-06-04,78,28464,370,376.8,370,372.9
2025-06-05,92,54208,369.1,378,369.1,370.63
2025-06-08,113,65412,368.1,392,368.1,389.77
2025-06-09,94,45826,390,390,378,382.34
2025-06-10,96,60039,380,392.5,380,385.47
2025-06-11,80,63820,380,388,380,383.04
2025-06-12,177,284392,388,420,381.3,406
2025-06-15,187,206304,410,423,409,422.03
2025-06-16,196,216151,425,432.4,407,408.62
2025-06-17,122,116714,415.6,418,400,416.07
2025-06-18,147,442441,420,457,409,447.2
2025-06-19,174,463525,429.6,429.6,402.5,402.5
2025-06-22,147,219068,402.5,402.5,379.1,380.43
2025-06-23,121,113056,387.8,387.8,377,380.31
2025-06-24,110,85103,387,387.9,372,373.03
2025-06-25,89,34131,380.4,384,372.8,377.12
2025-06-26,100,106550,375.2,380,369.6,370.39
2025-06-29,103,87551,370,376,363,369.45
2025-06-30,90,39605,376,376,366,369.15
2025-07-01,106,64333,366.4,375.8,366.4,374.58
2025-07-02,94,36158,379.9,380,374,378.96
2025-07-03,107,61086,380.1,386,373,374.08
2025-07-06,126,53892,375,375,369.2,370.17
2025-07-07,90,58426,369.1,375,365.6,369.41
2025-07-08,204,338492,355,356,346.1,350.65
2025-07-09,175,112633,354,354,343.7,346.87
2025-07-10,191,163896,342.2,348,333.1,335.14
2025-07-13,189,171693,338.4,339,320,324.26
2025-07-14,161,118461,325,337,320,333.19
2025-07-15,99,33425,331,338,330,336.7
2025-07-16,130,100988,337.4,339.6,333,336.35
2025-07-17,152,159366,339.9,365,335,349.88
2025-07-20,182,190758,349,365,346,352.57
2025-07-21,148,80973,349.1,355,348,349.71
2025-07-22,160,108005,353.9,356.9,347.2,355.24
2025-07-23,167,77387,350,358,347,349.96
2025-07-24,166,180795,346.2,357,346.2,349.21
2025-07-27,173,219063,351,353.4,345.1,346.88
2025-07-28,158,110689,349,349,339.1,343.13
2025-07-29,170,98376,349.9,349.9,341,344.33
2025-07-30,176,79591,340.2,345,335.1,336.26
2025-07-31,149,70370,333,369,331.1,338.23
2025-08-03,144,37640,338,342,335,336.77
2025-08-04,108,45035,336,340,331.4,332.62
2025-08-05,128,37546,326,337.6,326,329.59
2025-08-06,119,38047,332,333,326.4,328.99
2025-08-07,123,105565,322.6,331,319.7,326.1
2025-08-11,131,120082,324.1,326,314,314.78
2025-08-12,132,74327,318,318,308.1,309.49
2025-08-13,106,30399,309.6,312,307.5,309.61
2025-08-14,109,43209,309,310.7,304.2,306.61
2025-08-17,123,54635,308,309.5,300.5,300.95
2025-08-18,95,45508,306.9,306.9,298,303.63
2025-08-19,86,27556,302.9,309,302.9,305.09
2025-08-20,122,289894,308,321.3,300,312.48
2025-08-21,209,242616,316,328,316,321.43
2025-08-24,136,118203,321,350,307,309.22
2025-08-25,113,68119,308.2,309,303,304.85
2025-08-26,85,26629,310.9,310.9,305,308.48
2025-08-27,115,49325,307,310,305,308.35
2025-08-28,118,76689,309,314.5,302.9,303.3
2025-08-31,146,117699,309.3,309.3,291,293.79
2025-09-01,105,70467,293,299.6,289,294.21
2025-09-02,72,25041,295,295,291.4,292.51
2025-09-03,84,43562,295,295,286.8,287.46
2025-09-04,102,54615,289,300.5,281,288.04
2025-09-07,87,26840,288,313.8,286,287.04
2025-09-08,66,23581,281.3,290,281.3,284.14
2025-09-18,2,110,278.5,278.5,278.5,278.5
2025-09-21,160,75381,273,291.7,263.7,287.02
2025-09-23,102,33433,292.7,294.6,282,293
2025-09-24,74,20820,293,295,287.3,287.5
2025-09-25,69,26050,287,295,282.2,288
2025-09-28,56,11456,284.1,293.9,284.1,290
2025-10-07,89,38857,292,293,277,279
2025-10-08,97,55103,277,282,267.9,270.1
2025-10-09,92,32407,275.5,286.6,275,278
2025-10-12,91,50930,274,274,265,271
2025-10-13,71,22599,265.6,285,265.6,284
2025-10-14,71,19838,278.4,282.5,270.5,272
2025-10-15,101,85915,266.7,272.5,263,263.3
2025-10-16,64,20532,264.4,267.9,262,262.3
2025-10-19,60,27773,262.3,267,252.3,262.1
2025-10-26,60,21714,260,260.1,254.8,255
2025-10-28,89,24309,253.1,267.2,253.1,266.7
2025-10-29,80,36274,267,275.1,265,265.1
2025-10-30,81,16624,268,273.3,262.7,272
2025-11-02,112,29470,273.9,277.4,270,273.6
2025-11-03,82,23804,271,276,270,272
2025-11-04,76,46274,268.3,274.9,268.3,270
2025-11-05,68,11165,268,272,266.3,269
2025-11-06,72,92412,268,274,267,268.1
2025-11-09,66,14975,265,269,264,266
2025-11-10,62,13628,264,270,262.2,263.5
2025-11-11,98,77314,268.7,274,265.6,273
2025-11-12,60,26637,272,272,265,266
2025-11-13,68,25836,266,272,263,268
2025-11-16,67,30974,268,269,264,268
2025-11-17,61,17655,264.1,269.6,263.9,265
2025-11-18,77,13141,270.3,270.3,265,265
2025-11-19,75,27455,270.3,272,262,263
2025-11-20,71,31113,260,268.2,260,261
2025-11-23,82,56051,256,267.1,256,265.1
2025-11-24,82,27482,260.4,272.7,260.4,269.8
2025-11-25,65,18530,267,270,266.1,269.9
2025-11-26,74,26721,269,270,267.2,267.5
2025-11-27,79,26525,271.8,271.8,267.6,271.8
2025-11-30,100,49404,268.4,274.4,268.4,269.1
2025-12-01,62,11818,266,269,266,267
2025-12-02,173,267129,267,293.7,267,290
2025-12-03,138,79463,290,311.7,284,284
2025-12-07,115,63048,285,286,276,277.9
2025-12-08,107,47159,275.3,291,275.3,278.8
2025-12-09,76,31645,280,284.2,276,280.5
2025-12-10,70,19656,278.5,280.5,275.2,277.1
2025-12-11,70,22699,277,280,275.7,275.7
2025-12-14,95,23411,275.7,280,273,273.1
2025-12-15,72,19499,272.1,275,272.1,273.9
2025-12-16,80,20431,273.9,275,272.2,274
2025-12-17,89,19153,272.1,277.5,272.1,275
2025-12-18,83,26835,271.7,275,270.1,272
2025-12-21,87,28500,268.2,272.5,267.2,270
2025-12-22,76,26695,268,270,265.6,266.2
2025-12-23,82,17571,271.5,271.5,265.5,268.9
2025-12-24,69,17872,266.1,270,266.1,268.8
2025-12-28,106,24561,268.8,275,268.8,273.9
2025-12-29,59,19859,277,277,270.1,272.9
2025-12-31,77,21052,269,274.9,269,272
2026-01-01,57,15797,269.2,274,269.2,272
2026-01-04,78,14306,269.1,272,266.6,269.2
2026-01-05,88,26653,269,272,268,272
2026-01-06,87,33788,268.1,277.6,268.1,274.5
2026-01-07,81,19966,277.7,277.7,268,270
2026-01-08,69,18965,267.3,271,267.3,270.9
2026-01-12,95,59995,268.3,294,268.1,294
2026-01-13,115,50927,288.2,288.2,271,276.1
2026-01-14,81,42160,274.1,275,270,270
