hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,700,394,394,393.56,393.56
2025-04-27 11:00,25,5983,398.3,401,393.4,395.9
2025-04-27 12:00,24,20859,395.9,400,394.1,399.9
2025-04-27 13:00,25,20915,399.9,401.7,396,401.7
2025-04-27 14:00,25,20740,401.7,401.7,396.4,397.76
2025-04-28 11:00,22,12100,399,400,396.1,398
2025-04-28 12:00,18,12255,398,398,393.1,393.3
2025-04-28 13:00,23,8504,393.3,394,390.2,390.3
2025-04-28 14:00,32,30444,390.3,392,386,389.46
2025-04-29 11:00,29,91746,397,428,391,405.3
2025-04-29 12:00,54,92211,405.3,415,405.3,414.2
2025-04-29 13:00,43,22645,414.2,415,408.6,410
2025-04-29 14:00,46,39770,410,410.9,407.2,408.73
2025-04-30 11:00,24,7684,416.9,416.9,406,406.5
2025-04-30 12:00,18,6258,406.5,411,405.1,407.3
2025-04-30 13:00,25,22107,407.3,409,405.2,409
2025-04-30 14:00,39,34924,409,410,401,402.53
2025-05-04 11:00,25,11175,410.5,410.5,395.2,395.2
2025-05-04 12:00,21,14449,395.2,399.7,395.2,398.9
2025-05-04 13:00,24,13422,398.9,398.9,395,395.5
2025-05-04 14:00,37,21275,395.5,397,392,393.86
2025-05-05 11:00,15,2490,401.7,401.7,390,390
2025-05-05 12:00,30,10479,390,393,387,390
2025-05-05 13:00,20,9150,390,390,387.1,388
2025-05-05 14:00,18,19914,388,390,388,388.95
2025-05-06 11:00,25,6587,396,396,382.2,391
2025-05-06 12:00,20,2975,391,392,388,388.4
2025-05-06 13:00,26,14234,388.4,390,385.1,390
2025-05-06 14:00,37,30218,390,394.4,386,390.49
2025-05-07 11:00,39,43073,406.1,414.2,395.1,406.4
2025-05-07 12:00,41,42565,406.4,413,401,409
2025-05-07 13:00,31,25519,409,410,404.8,406.1
2025-05-07 14:00,35,18636,406.1,409,405,406.62
2025-05-08 11:00,30,7821,414.7,414.7,398.5,406
2025-05-08 12:00,28,6831,406,406,401.3,403
2025-05-08 13:00,30,24595,403,410,403,407.5
2025-05-08 14:00,38,33265,407.5,408.9,405,405.81
2025-05-11 11:00,28,20071,410,413,403,403
2025-05-11 12:00,23,10549,403,404.9,402.6,402.6
2025-05-11 13:00,22,3862,402.6,402.6,400.1,402
2025-05-11 14:00,36,24752,402,402.8,398.5,399.27
2025-05-13 11:00,23,17425,402,404.9,396.1,396.2
2025-05-13 12:00,29,11067,396.2,398,395,396
2025-05-13 13:00,24,4152,396,399.9,395.1,395.7
2025-05-13 14:00,29,17587,395.7,397.9,394.73,394.73
2025-05-14 11:00,16,4160,399,399,391,391
2025-05-14 12:00,20,5341,391,394.7,390,390.2
2025-05-14 13:00,24,4525,390.2,392,388,388
2025-05-14 14:00,27,19534,388,389,383.3,384.48
