date_np,bars,volume,open,high,low,close
2025-04-24,1,5541,197,197.18,197,197.18
2025-04-27,185,167345,201,201.9,198.5,199.53
2025-04-28,178,279271,200,206.9,199,200.71
2025-04-29,142,117466,204.7,204.7,198.1,198.51
2025-04-30,169,194611,199.8,201,198,198.88
2025-05-04,195,204631,202.5,203,199.7,199.95
2025-05-05,163,115565,196.4,200,196.4,197.67
2025-05-06,168,198432,198,201.9,197.2,198.68
2025-05-07,219,1003936,202.1,215.6,200,212.5
2025-05-08,221,469196,215,216.1,209.4,210.66
2025-05-11,197,390202,214,214,203.1,204.09
2025-05-13,200,291850,202,206,200.2,201.03
2025-05-14,167,215886,200.6,202,199.2,199.9
2025-05-15,176,168695,200,201,198.6,199.59
2025-05-18,156,193692,199.7,202,197.9,198.02
2025-05-19,179,162329,200,200.9,198,199.75
2025-05-20,170,143922,199.9,205,198,203.18
2025-05-21,191,265269,207.2,215,202,202.16
2025-05-22,178,169204,204,204.9,201.1,201.77
2025-05-25,162,122433,205,205,200.3,201.08
2025-05-26,177,171240,209,209,201,201.63
2025-05-27,160,102077,205.6,205.6,200,200.59
2025-05-28,135,113211,203,203,199.8,201.54
2025-06-02,185,140069,205.4,205.4,200.2,201.56
2025-06-03,151,157374,200.2,202,199.8,199.99
2025-06-04,134,87162,200,202,199,199.65
2025-06-05,151,122061,202.6,202.6,198.1,198.96
2025-06-08,167,118862,197.3,200,197.3,198.28
2025-06-09,171,125781,202.2,202.2,198.4,199.75
2025-06-10,174,135006,200,201,198.7,199.69
2025-06-11,163,139557,199,201,198.7,199.63
2025-06-12,194,272942,199.5,203.1,199,199.16
2025-06-15,184,159263,199,201.4,198.4,198.77
2025-06-16,165,257289,202.7,203,198,198.55
2025-06-17,156,106940,199,201.9,197.6,197.89
2025-06-18,171,155823,198,199.9,197,197.35
2025-06-19,194,252400,198,200,197.1,197.43
2025-06-22,185,155536,193.7,198.6,193.7,196.01
2025-06-23,171,140896,196.6,196.6,195.1,195.83
2025-06-24,182,191311,196,197.6,194,194.35
2025-06-25,167,136897,194,196.5,193.6,194.1
2025-06-26,167,119813,193,195.8,193,193.22
2025-06-29,179,191848,197,197.5,194,195.07
2025-06-30,166,85575,195,196.8,194.6,195.11
2025-07-01,175,105822,197,197.9,195.2,197.17
2025-07-02,174,173876,193.3,199.9,193.3,197.48
2025-07-03,177,140941,200,200,197.1,197.79
2025-07-06,189,123499,199,199,197,197.37
2025-07-07,172,107808,198,198,195.1,195.43
2025-07-08,174,108544,195,197,194,194.9
2025-07-09,153,129094,196,196,193,195.69
2025-07-10,168,140312,195,197.3,195,196.95
2025-07-13,197,361924,204.8,205,196.9,197.87
2025-07-14,182,133519,198,199,195.1,197.5
2025-07-15,149,121599,197,198.5,197,197.88
2025-07-16,178,301223,198.8,201,195,198.56
2025-07-17,213,896797,199,207.9,198,206.18
2025-07-20,227,848914,209,214.1,206.4,207.8
2025-07-21,218,396044,210.9,210.9,204,205.79
2025-07-22,222,771447,206.5,211,206.5,210.01
2025-07-23,228,953263,214,217.8,210.4,214.6
