hour_np,bars,volume,open,high,low,close
2025-04-24 14:00,1,5541,197,197.18,197,197.18
2025-04-27 11:00,45,40328,201,201,198.5,200
2025-04-27 12:00,47,52014,200,201.9,199,200.3
2025-04-27 13:00,45,39662,200.3,200.9,199,199.4
2025-04-27 14:00,48,35341,199.4,200,199,199.53
2025-04-28 11:00,52,121750,200,206.9,199,205.3
2025-04-28 12:00,46,80945,205.3,205.8,202.3,202.3
2025-04-28 13:00,38,30912,202.3,203,202,202
2025-04-28 14:00,42,45664,202,202,200.4,200.71
2025-04-29 11:00,36,34761,204.7,204.7,199,199.4
2025-04-29 12:00,34,32233,199.4,200,198.1,200
2025-04-29 13:00,25,18463,200,200,198.7,198.7
2025-04-29 14:00,47,32009,198.7,199.3,198.3,198.51
2025-04-30 11:00,35,26276,199.8,199.8,198.1,199
2025-04-30 12:00,39,56175,199,201,198,199.5
2025-04-30 13:00,47,44026,199.5,200.9,199.5,200.6
2025-04-30 14:00,48,68134,200.6,200.6,198.8,198.88
2025-05-04 11:00,48,54067,202.5,203,200,201.3
2025-05-04 12:00,46,46839,201.3,202,200.2,202
2025-05-04 13:00,50,46572,202,202.2,200.2,200.2
2025-05-04 14:00,51,57153,200.2,201,199.7,199.95
2025-05-05 11:00,38,16110,196.4,200,196.4,198.9
2025-05-05 12:00,42,45495,198.9,199,197.1,197.1
2025-05-05 13:00,35,18239,197.1,198,197.1,197.9
2025-05-05 14:00,48,35721,197.9,198.1,197.4,197.67
2025-05-06 11:00,36,35315,198,199.2,197.2,198
2025-05-06 12:00,40,31006,198,198.8,198,198.2
2025-05-06 13:00,47,89534,198.2,201.9,197.8,201
2025-05-06 14:00,45,42577,201,201.3,198.1,198.68
2025-05-07 11:00,44,261050,202.1,209,200,208.4
2025-05-07 12:00,60,451454,208.4,215.6,207.2,214
2025-05-07 13:00,57,147624,214,214.3,210.8,211.9
2025-05-07 14:00,58,143808,211.9,213.3,211.2,212.5
2025-05-08 11:00,58,153338,215,216.1,209.9,211.8
2025-05-08 12:00,51,62767,211.8,212,209.4,210.3
2025-05-08 13:00,53,127605,210.3,214.7,210.3,214
2025-05-08 14:00,59,125486,214,214.1,210.3,210.66
2025-05-11 11:00,53,137321,214,214,206,207
2025-05-11 12:00,44,56815,207,208.5,205.5,205.6
2025-05-11 13:00,50,77384,205.6,207,204,205.5
2025-05-11 14:00,50,118682,205.5,206,203.1,204.09
2025-05-13 11:00,50,71523,202,206,202,203
2025-05-13 12:00,53,70777,203,204.5,201.6,201.8
2025-05-13 13:00,46,71766,201.8,202.4,201,201.9
2025-05-13 14:00,51,77784,201.9,201.9,200.2,201.03
2025-05-14 11:00,34,17366,200.6,202,200.6,201.8
2025-05-14 12:00,46,54293,201.8,201.9,200,201.9
2025-05-14 13:00,42,57323,201.9,201.9,200,201
2025-05-14 14:00,45,86904,201,201,199.2,199.9
2025-05-15 11:00,44,41817,200,201,198.6,199
2025-05-15 12:00,33,31513,199,200,199,199.6
2025-05-15 13:00,42,37379,199.6,199.9,198.6,199.5
2025-05-15 14:00,57,57986,199.5,199.9,198.8,199.59
2025-05-18 11:00,39,26141,199.7,202,199,200
2025-05-18 12:00,39,26727,200,200.4,199.1,200.2
2025-05-18 13:00,35,38517,200.2,200.8,198.7,199
2025-05-18 14:00,43,102307,199,199.2,197.9,198.02
2025-05-19 11:00,46,37308,200,200.9,198,200
2025-05-19 12:00,46,31094,200,200.5,199.8,199.9
2025-05-19 13:00,41,36173,199.9,200.5,198,199
2025-05-19 14:00,46,57754,199,200,198,199.75
2025-05-20 11:00,35,10197,199.9,199.9,198.5,199
2025-05-20 12:00,36,32565,199,199.4,198,198
2025-05-20 13:00,43,35970,198,200.7,198,200.7
2025-05-20 14:00,56,65190,200.7,205,200,203.18
2025-05-21 11:00,54,114528,207.2,215,205.3,205.4
2025-05-21 12:00,46,31113,205.4,206.5,205,206
2025-05-21 13:00,44,57283,206,206.5,203.2,206
2025-05-21 14:00,47,62345,206,206,202,202.16
2025-05-22 11:00,39,20925,204,204,202,203
2025-05-22 12:00,41,25212,203,204,202,203.5
2025-05-22 13:00,46,37816,203.5,204.9,202.6,202.8
2025-05-22 14:00,52,85251,202.8,202.9,201.1,201.77
2025-05-25 11:00,46,23637,205,205,202.2,203
2025-05-25 12:00,36,16182,203,203,202,202.4
2025-05-25 13:00,37,28712,202.4,202.4,201.5,201.5
2025-05-25 14:00,43,53902,201.5,201.9,200.3,201.08
2025-05-26 11:00,52,94298,209,209,203.1,204
2025-05-26 12:00,38,20163,204,204,202.7,204
2025-05-26 13:00,41,23589,204,204,201.8,202.5
2025-05-26 14:00,46,33190,202.5,203,201,201.63
2025-05-27 11:00,36,11094,205.6,205.6,200,201.9
2025-05-27 12:00,41,14562,201.9,202,200.4,201.8
2025-05-27 13:00,39,22591,201.8,202,200.7,201.9
2025-05-27 14:00,44,53830,201.9,201.9,200.3,200.59
2025-05-28 11:00,31,25985,203,203,199.9,200
2025-05-28 12:00,33,29917,200,203,199.8,201.8
2025-05-28 13:00,29,14176,201.8,202,200.2,200.2
2025-05-28 14:00,42,43133,200.2,202,200.1,201.54
2025-06-02 11:00,51,40651,205.4,205.4,202,203
2025-06-02 12:00,47,28278,203,204,202.2,202.2
2025-06-02 13:00,41,29009,202.2,203.3,201.7,201.8
2025-06-02 14:00,46,42131,201.8,202.4,200.2,201.56
2025-06-03 11:00,31,20031,200.2,202,200.2,201
