symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes,v1_role,frozen_as_of
EBL,2021-09-01,2026-04-17,1595,True,90,22547873.20,32299.50,674.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,,active_shadow,2026-04-19
NABIL,2021-09-01,2026-04-17,1595,True,90,35262585.15,71174.00,499.15,True,,COMMERCIAL_BANK,high,curated_lookup,True,,active_shadow,2026-04-19
SANIMA,2021-09-01,2026-04-17,1595,True,90,25367899.65,75863.00,341.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,,active_shadow,2026-04-19
AKPL,2021-09-01,2026-04-17,1595,True,90,114045343.70,400064.00,271.90,True,,HYDROPOWER,high,curated_lookup,True,,research,2026-04-19
API,2021-09-01,2026-04-17,1595,True,90,152908907.90,483492.00,312.40,True,,HYDROPOWER,high,curated_lookup,True,,research,2026-04-19
UPPER,2021-09-01,2026-04-17,1595,True,90,53400230.10,266170.00,190.85,True,,HYDROPOWER,high,curated_lookup,True,,research,2026-04-19
JBBL,2021-09-01,2026-04-17,1595,True,90,37020295.85,102918.50,345.50,True,,DEV_BANK,high,curated_lookup,True,,shadow_excluded,2026-04-19
MNBBL,2021-09-01,2026-04-17,1592,True,90,21278236.80,58554.50,371.00,True,,DEV_BANK,high,curated_lookup,True,,shadow_excluded,2026-04-19
RHPL,2021-09-01,2026-04-17,1595,True,90,17226290.30,59675.00,292.25,True,,HYDROPOWER,high,curated_lookup,False,,hydro_intelligence_pilot,2026-04-19
AHPC,2021-09-01,2026-04-17,1595,True,90,91205012.30,316539.00,285.05,True,,HYDROPOWER,high,curated_lookup,True,,data_collection_only,2026-04-19
BHCL,2025-08-20,2026-04-17,237,False,90,31582899.40,55179.00,588.00,True,,HYDROPOWER,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;POST_2021_LISTING,data_collection_only,2026-04-19
CBBL,2021-09-01,2026-04-17,1595,True,90,19129089.90,20721.00,931.50,True,,MICROFINANCE,high,curated_lookup,True,,data_collection_only,2026-04-19
CLI,2023-10-01,2026-04-17,921,False,90,9589922.30,19843.00,473.80,True,,LIFE_INSURANCE,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;POST_2021_LISTING,data_collection_only,2026-04-19
EDBL,2021-09-01,2026-04-17,1595,True,90,9004909.75,15306.00,596.90,True,,DEV_BANK,high,curated_lookup,False,,data_collection_only,2026-04-19
HLI,2023-06-22,2026-04-17,1025,False,90,24396155.40,66902.00,367.65,True,,LIFE_INSURANCE,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;POST_2021_LISTING,data_collection_only,2026-04-19
LGIL,2021-09-01,2023-03-12,287,True,0,0.00,0.00,0.00,True,,NON_LIFE_INSURANCE,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;LOW_ACTIVITY,data_collection_only,2026-04-19
MFIL,2021-09-01,2026-04-17,1595,True,90,102912176.50,128043.50,820.00,True,,FINANCE,high,curated_lookup,True,,data_collection_only,2026-04-19
NBB,2021-09-01,2022-01-15,74,True,0,0.00,0.00,0.00,True,,COMMERCIAL_BANK,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;LOW_ACTIVITY,data_collection_only,2026-04-19
NFS,2021-09-01,2026-04-17,1595,True,90,12582309.80,20328.00,644.00,True,,FINANCE,high,curated_lookup,False,,data_collection_only,2026-04-19
NICA,2021-09-01,2026-04-17,1595,True,90,36573400.95,107458.00,340.45,True,,COMMERCIAL_BANK,high,curated_lookup,True,,data_collection_only,2026-04-19
NIL,2021-09-01,2026-04-17,1594,True,90,7303174.80,11446.50,635.00,True,,NON_LIFE_INSURANCE,high,curated_lookup,True,,data_collection_only,2026-04-19
NLIC,2021-09-01,2026-04-17,1595,True,90,30001483.75,38571.00,780.00,True,,LIFE_INSURANCE,high,curated_lookup,True,,data_collection_only,2026-04-19
PCBL,2021-09-01,2026-04-17,1595,True,90,15906653.15,65503.50,242.20,True,,COMMERCIAL_BANK,high,curated_lookup,True,,data_collection_only,2026-04-19
RADHI,2021-09-01,2026-04-17,1595,True,90,227364092.30,258526.50,849.00,True,,HYDROPOWER,high,curated_lookup,True,,data_collection_only,2026-04-19
RMDC,2021-09-01,2023-07-08,520,True,0,0.00,0.00,0.00,True,,MICROFINANCE,high,scrape_symbol_list_v1,False,SECTOR_UNVERIFIED;LOW_ACTIVITY,data_collection_only,2026-04-19
SAPDBL,2021-09-01,2026-04-17,1595,True,90,41682633.90,50841.00,853.70,True,,DEV_BANK,high,curated_lookup,True,,data_collection_only,2026-04-19
