symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
AKJCL,2021-09-01,2026-04-17,1595,True,90,356636028.25,971645.50,371.90,True,,HYDROPOWER,high,curated_lookup,True,
SYPNL,2025-12-10,2026-04-17,125,False,90,319612209.25,172305.00,1883.25,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
NGPL,2021-09-01,2026-04-17,1595,True,90,296859160.20,664040.00,433.90,True,,HYDROPOWER,high,curated_lookup,True,
RIDI,2022-08-15,2026-04-17,1310,False,90,277497422.70,893492.00,322.90,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
RADHI,2021-09-01,2026-04-17,1595,True,90,227364092.30,258526.50,849.00,True,,HYDROPOWER,high,curated_lookup,True,
API,2021-09-01,2026-04-17,1595,True,90,152908907.90,483492.00,312.40,True,,HYDROPOWER,high,curated_lookup,True,
NRN,2021-09-01,2026-04-17,1595,True,90,148243976.50,93933.00,1552.00,True,,INVESTMENT,high,curated_lookup,True,
SHIVM,2021-09-01,2026-04-17,1595,True,90,138697213.35,221096.50,627.30,True,,MANUFACTURING,high,curated_lookup,True,
FOWADP,2022-05-11,2026-01-25,8,False,1,134626300.00,362000.00,660.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
HDHPC,2021-09-01,2026-04-17,1593,True,90,133158922.85,631121.00,209.40,True,,HYDROPOWER,high,curated_lookup,True,
NHPC,2021-09-01,2026-04-17,1595,True,90,127626905.05,558017.50,226.60,True,,HYDROPOWER,high,curated_lookup,True,
KBLD90,2024-08-11,2026-02-07,129,False,4,127500000.00,85000.00,1500.00,False,debenture_pattern,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED
HRL,2024-01-08,2026-04-17,826,False,90,117241825.65,136022.00,849.90,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
