date_np,bars,volume,open,high,low,close
2026-03-29,1,4986,870,872.9,870,872
2026-03-30,180,304523,889.4,889.4,850.3,864.5
2026-03-31,144,299105,881.7,881.7,845,854
2026-04-01,157,258655,837,853,810,823
2026-04-02,137,168981,820,843,811,821
2026-04-05,171,296038,805,805,771,776
2026-04-06,156,161644,787,819,779,809.5
2026-04-07,122,108105,815,824.9,800.5,809
2026-04-08,107,141394,815,825,808,825
2026-04-09,109,132099,825,842,817.1,840
2026-04-10,124,162553,845,845,820,825.1
2026-04-13,86,104467,825.2,833,812,812
2026-04-15,108,127361,820,832.6,816.3,825
2026-04-16,96,116129,825,827.2,808.1,814.5
2026-04-17,91,101556,815,819,798.1,806
2026-04-20,82,57776,765.7,811,765.7,799.8
2026-04-21,52,53081,759.9,810,759.9,794
2026-04-22,94,105077,790,805.3,775,803
2026-04-23,56,46925,762.9,824,762.9,789
2026-04-24,65,36399,795,795,775,790
2026-04-27,41,12908,802.3,802.3,780,789
2026-04-28,66,56765,775.5,798,775.1,780
2026-04-29,93,57510,775,775,755,764.8
