hour_np,bars,volume,open,high,low,close
2026-03-29 14:00,1,4986,870,872.9,870,872
2026-03-30 11:00,40,106151,889.4,889.4,857,869
2026-03-30 12:00,39,33052,869,878,865,866.1
2026-03-30 13:00,43,64748,866.1,870,858,858
2026-03-30 14:00,58,100572,858,864.5,850.3,864.5
2026-03-31 11:00,46,86356,881.7,881.7,847,847.1
2026-03-31 12:00,44,67016,847.1,857,845,855
2026-03-31 13:00,17,48732,855,865,853,854
2026-03-31 14:00,37,97001,854,864,848.2,854
2026-04-01 11:00,29,40189,837,853,837,842
2026-04-01 12:00,34,63729,842,845,830,837
2026-04-01 13:00,37,49285,837,839.9,821.7,824
2026-04-01 14:00,57,105452,824,834,810,823
2026-04-02 11:00,47,43836,820,833.7,811,831
2026-04-02 12:00,25,38185,831,843,820,840
2026-04-02 13:00,31,31020,840,840,826.1,828
2026-04-02 14:00,34,55940,828,830,816,821
2026-04-05 11:00,44,118921,805,805,784,795
2026-04-05 12:00,40,33892,795,795,780,782
2026-04-05 13:00,42,55081,782,789,771,788
2026-04-05 14:00,45,88144,788,788,772.1,776
2026-04-06 11:00,50,51476,787,797.9,779,794
2026-04-06 12:00,31,29844,794,800,786.3,798
2026-04-06 13:00,33,45512,798,819,791.1,819
2026-04-06 14:00,42,34812,819,819,803,809.5
2026-04-07 11:00,40,43210,815,824.9,806,818
2026-04-07 12:00,31,22724,818,818,807.5,807.5
2026-04-07 13:00,18,5707,807.5,814,806,810
2026-04-07 14:00,33,36464,810,813.5,800.5,809
2026-04-08 11:00,22,27723,815,819.8,808,814.9
2026-04-08 12:00,19,18021,814.9,821,810,817
2026-04-08 13:00,34,43910,817,823,812.5,812.5
2026-04-08 14:00,32,51740,812.5,825,812.5,825
2026-04-09 11:00,24,31531,825,839,817.1,831.2
2026-04-09 12:00,21,17209,831.2,840,827.2,838
2026-04-09 13:00,33,39127,838,840.8,833.2,835
2026-04-09 14:00,31,44232,835,842,830,840
2026-04-10 11:00,31,34526,845,845,825.4,832
2026-04-10 12:00,26,40930,832,832,820.1,827
2026-04-10 13:00,29,32581,827,839,824,825
2026-04-10 14:00,38,54516,825,836,820,825.1
2026-04-13 11:00,15,5536,825.2,833,825,827
2026-04-13 12:00,21,22542,827,829,823,823
2026-04-13 13:00,20,14549,823,831,823,830
2026-04-13 14:00,30,61840,830,830,812,812
2026-04-15 11:00,22,20866,820,828.2,816.3,825
2026-04-15 12:00,27,24749,825,832.6,823,827
2026-04-15 13:00,25,29789,827,828,819.2,821
2026-04-15 14:00,34,51957,821,825,819,825
2026-04-16 11:00,18,7776,825,827.2,818,821
2026-04-16 12:00,18,19205,821,825,818,820
2026-04-16 13:00,27,33994,820,820,810,813.2
2026-04-16 14:00,33,55154,813.2,817,808.1,814.5
2026-04-17 11:00,21,20596,815,819,800,809
2026-04-17 12:00,29,21784,809,812,799,811
2026-04-17 13:00,15,14499,811,818.9,798.1,812
2026-04-17 14:00,26,44677,812,812,800,806
2026-04-20 11:00,31,18205,765.7,811,765.7,801
2026-04-20 12:00,10,5725,801,803,798,798
2026-04-20 13:00,14,17034,798,804,795.2,804
2026-04-20 14:00,27,16812,804,804,795.2,799.8
2026-04-21 11:00,13,3113,759.9,810,759.9,805
2026-04-21 12:00,13,21450,805,805,789.8,799.1
2026-04-21 13:00,10,16545,799.1,802,790.1,801.9
2026-04-21 14:00,16,11973,801.9,801.9,787.2,794
2026-04-22 11:00,20,40492,790,805,781,783
2026-04-22 12:00,34,17958,783,785,776.2,782
2026-04-22 13:00,18,16032,782,784.9,775,782
2026-04-22 14:00,22,30595,782,805.3,781,803
2026-04-23 11:00,11,3794,762.9,824,762.9,786.3
2026-04-23 12:00,15,6401,786.3,794.7,784.1,793
2026-04-23 13:00,8,16373,793,805,788.5,788.5
2026-04-23 14:00,22,20357,788.5,795.9,779.1,789
2026-04-24 11:00,23,3725,795,795,775,781
2026-04-24 12:00,16,9475,781,790,780,784.2
2026-04-24 13:00,4,6400,784.2,792,781.5,781.6
2026-04-24 14:00,22,16799,781.6,790,778.4,790
2026-04-27 11:00,8,912,802.3,802.3,785,794
2026-04-27 12:00,4,775,794,794,780,791
2026-04-27 13:00,13,3227,791,791,783.1,790
2026-04-27 14:00,16,7994,790,790,782,789
2026-04-28 11:00,14,14375,775.5,798,775.5,778
2026-04-28 12:00,9,4513,778,785,778,780
2026-04-28 13:00,13,19282,780,780,776,777
2026-04-28 14:00,30,18595,777,780,775.1,780
2026-04-29 11:00,27,4813,775,775,767.5,772
2026-04-29 12:00,24,23039,772,772,760,760
2026-04-29 13:00,12,7224,760,767,760,767
2026-04-29 14:00,30,22434,767,767,755,764.8
