date_np,bars,volume,open,high,low,close
2026-03-29,1,291,303,306,302.9,306
2026-03-30,133,98719,306,308,292.2,296.5
2026-03-31,125,50424,302,302,290,297.2
2026-04-01,115,50045,302.9,302.9,289.5,293.8
2026-04-02,108,55284,289.2,295,276.1,292
2026-04-05,130,79919,286.2,293.6,273,274.6
2026-04-06,123,55382,275,288,271.1,285
2026-04-07,84,37867,290,292.9,285,287
2026-04-08,69,21585,291.9,292,288.1,288.1
2026-04-09,108,42193,286.2,297,286.2,295
2026-04-10,86,29559,291,297,291,293
2026-04-13,95,49312,287.2,299.8,287.2,295
2026-04-15,97,27129,295.1,301,294,298
2026-04-16,79,28943,300,300,289,292.7
2026-04-17,65,27163,288.7,294,286.1,292.5
2026-04-20,64,23755,287,293,285.1,288
2026-04-21,87,16974,282,293,282,286
2026-04-22,92,30225,285,290,280.4,288
2026-04-23,56,16929,285,286.5,281.1,281.7
2026-04-24,70,18849,280,283,279,280.4
2026-04-27,92,19827,280,288,280,281
2026-04-28,72,18756,282.1,282.1,279.2,280
2026-04-29,76,17325,285.8,285.8,275.2,275.5
