hour_np,bars,volume,open,high,low,close
2026-03-29 14:00,1,291,303,306,302.9,306
2026-03-30 11:00,36,11843,306,306,301.1,304
2026-03-30 12:00,27,13901,304,308,304,306.5
2026-03-30 13:00,27,13600,306.5,307,302,302
2026-03-30 14:00,43,59375,302,302,292.2,296.5
2026-03-31 11:00,35,12804,302,302,292,292
2026-03-31 12:00,31,15355,292,297,290,296
2026-03-31 13:00,22,5822,296,298.3,295.4,296
2026-03-31 14:00,37,16443,296,301,295.1,297.2
2026-04-01 11:00,25,6136,302.9,302.9,296.2,297
2026-04-01 12:00,22,10267,297,298.9,297,297
2026-04-01 13:00,23,7793,297,297,293.5,294
2026-04-01 14:00,45,25849,294,294,289.5,293.8
2026-04-02 11:00,30,19786,289.2,294.9,276.1,293
2026-04-02 12:00,23,4036,293,294,290.1,292
2026-04-02 13:00,33,15433,292,295,290,293
2026-04-02 14:00,22,16029,293,293,290,292
2026-04-05 11:00,35,31264,286.2,293.6,273,277.5
2026-04-05 12:00,28,7144,277.5,288,277.5,280
2026-04-05 13:00,32,11976,280,281,276,277.6
2026-04-05 14:00,35,29535,277.6,278,274.6,274.6
2026-04-06 11:00,34,20533,275,286,271.1,284
2026-04-06 12:00,28,5830,284,284.9,281,282.2
2026-04-06 13:00,22,9087,282.2,283.9,280,283.9
2026-04-06 14:00,39,19932,283.9,288,283,285
2026-04-07 11:00,20,5358,290,291,285.1,288
2026-04-07 12:00,29,13203,288,289.5,285,285
2026-04-07 13:00,14,6119,285,292.9,285,290
2026-04-07 14:00,21,13187,290,290,285.2,287
2026-04-08 11:00,13,4950,291.9,292,289.1,290
2026-04-08 12:00,22,5535,290,291.5,290,290.2
2026-04-08 13:00,16,6222,290.2,291.4,290.2,290.2
2026-04-08 14:00,18,4878,290.2,290.2,288.1,288.1
2026-04-09 11:00,20,6354,286.2,294,286.2,292
2026-04-09 12:00,32,12906,292,294.4,291.9,293.9
2026-04-09 13:00,23,8765,293.9,297,292.3,296.4
2026-04-09 14:00,33,14168,296.4,296.9,295,295
2026-04-10 11:00,15,4205,291,297,291,295
2026-04-10 12:00,28,10461,295,296,291,292.5
2026-04-10 13:00,18,4359,292.5,295,292,293
2026-04-10 14:00,25,10534,293,296,292,293
2026-04-13 11:00,18,2908,287.2,298.7,287.2,294
2026-04-13 12:00,25,21058,294,299.8,293.1,296.3
2026-04-13 13:00,22,4587,296.3,296.5,293.6,296
2026-04-13 14:00,30,20759,296,298,294.1,295
2026-04-15 11:00,20,4185,295.1,298,294,298
2026-04-15 12:00,26,10477,298,300,295.1,300
2026-04-15 13:00,34,8786,300,301,298,300
2026-04-15 14:00,17,3681,300,300,297.1,298
2026-04-16 11:00,18,4597,300,300,292,292.8
2026-04-16 12:00,18,2822,292.8,294,292.8,293
2026-04-16 13:00,23,14127,293,293.1,289,290.3
2026-04-16 14:00,20,7397,290.3,292.9,290.2,292.7
2026-04-17 11:00,17,4724,288.7,294,288.2,288.2
2026-04-17 12:00,20,11341,288.2,288.2,286.1,288
2026-04-17 13:00,7,3382,288,290,288,288.5
2026-04-17 14:00,21,7716,288.5,294,288.5,292.5
2026-04-20 11:00,12,1170,287,293,287,287
2026-04-20 12:00,15,7326,287,288,286.6,286.7
2026-04-20 13:00,17,6237,286.7,288,285.2,285.7
2026-04-20 14:00,20,9022,285.7,290,285.1,288
2026-04-21 11:00,24,5792,282,293,282,288
2026-04-21 12:00,18,1618,288,288,287,288
2026-04-21 13:00,23,5762,288,290,287,287
2026-04-21 14:00,22,3802,287,287,285.1,286
2026-04-22 11:00,15,2628,285,285,282.1,282.3
2026-04-22 12:00,29,9607,282.3,283.1,280.4,280.4
2026-04-22 13:00,20,5606,280.4,283,280.4,281.9
2026-04-22 14:00,28,12384,281.9,290,280.9,288
2026-04-23 11:00,14,1599,285,285,281.1,285
2026-04-23 12:00,15,2672,285,285,281.1,285
2026-04-23 13:00,12,3824,285,286.5,283,285
2026-04-23 14:00,15,8834,285,285,281.6,281.7
2026-04-24 11:00,14,3535,280,282,279,282
2026-04-24 12:00,15,2590,282,282,279.1,280
2026-04-24 13:00,17,4046,280,282,280,280
2026-04-24 14:00,24,8678,280,283,279.6,280.4
2026-04-27 11:00,21,2170,280,288,280,281.5
2026-04-27 12:00,24,3696,281.5,282,281.1,281.1
2026-04-27 13:00,22,5750,281.1,282,280.1,280.1
2026-04-27 14:00,25,8211,280.1,282.5,280.1,281
2026-04-28 11:00,19,2971,282.1,282.1,280.5,280.5
2026-04-28 12:00,17,6281,280.5,280.5,279.2,279.3
2026-04-28 13:00,15,3709,279.3,280,279.2,280
2026-04-28 14:00,21,5795,280,280,279.5,280
2026-04-29 11:00,11,1254,285.8,285.8,276.2,279
2026-04-29 12:00,21,2698,279,279,276.5,278
2026-04-29 13:00,17,1587,278,278,276.4,277
2026-04-29 14:00,27,11786,277,278,275.2,275.5
