date_np,bars,volume,open,high,low,close
2026-03-24,1,16758,237,237,236.5,236.9
2026-03-25,227,664956,237,238,229,230
2026-03-26,229,481909,230,234,226,233.9
2026-03-29,237,924493,234,237,220.5,223
2026-03-30,230,698666,227.4,227.4,215.1,216
2026-03-31,227,659335,220.3,220.3,210,218.5
2026-04-01,217,594242,219,221,206.5,208.1
2026-04-02,222,563584,207.5,213.5,199,208
2026-04-05,237,528921,208,209,198,198.6
2026-04-06,232,550177,194.7,215.9,194.7,213
2026-04-07,208,328607,217.2,220,210.1,211.5
2026-04-08,211,250714,215.7,216.7,213,214
2026-04-09,216,302238,218.2,218.2,214,216.5
2026-04-10,212,314264,217.9,217.9,212.2,213
2026-04-13,216,362753,213,217,209.6,217
2026-04-15,233,771030,221,227,217,224.5
2026-04-16,222,375273,224.5,225,216.1,216.9
2026-04-17,205,247624,216.9,219,213.1,217
2026-04-20,204,249935,217,217.4,212,214.6
2026-04-21,201,257415,215,215,208.2,210
2026-04-22,216,408969,210,215,204,207
2026-04-23,184,135500,210,212.9,206,208.5
2026-04-24,191,163426,208.5,211.8,205,207.5
