hour_np,bars,volume,open,high,low,close
2026-03-24 14:00,1,16758,237,237,236.5,236.9
2026-03-25 11:00,57,108602,237,238,232.1,232.1
2026-03-25 12:00,60,191738,232.1,234,230.4,231.5
2026-03-25 13:00,56,79522,231.5,235,230.8,233.8
2026-03-25 14:00,54,285094,233.8,234.5,229,230
2026-03-26 11:00,60,125875,230,232,226,228.1
2026-03-26 12:00,56,60658,228.1,229.5,227,229.5
2026-03-26 13:00,56,93477,229.5,231,228,230
2026-03-26 14:00,57,201899,230,234,229,233.9
2026-03-29 11:00,60,211699,234,237,227.5,227.5
2026-03-29 12:00,58,149551,227.5,229.8,226,226.6
2026-03-29 13:00,59,142932,226.6,227.2,225,226.7
2026-03-29 14:00,60,420311,226.7,228,220.5,223
2026-03-30 11:00,59,179216,227.4,227.4,217.1,223
2026-03-30 12:00,58,132705,223,226.4,220,223
2026-03-30 13:00,53,78977,223,224,219,219.5
2026-03-30 14:00,60,307768,219.5,219.5,215.1,216
2026-03-31 11:00,59,231336,220.3,220.3,210,210.9
2026-03-31 12:00,58,166048,210.9,215.2,210.1,215
2026-03-31 13:00,55,97952,215,217,213,213.5
2026-03-31 14:00,55,163999,213.5,220.2,213.5,218.5
2026-04-01 11:00,53,70785,219,221,214,216
2026-04-01 12:00,52,55349,216,217,214,215.1
2026-04-01 13:00,52,169977,215.1,215.1,210,210.5
2026-04-01 14:00,60,298131,210.5,211.9,206.5,208.1
2026-04-02 11:00,59,232084,207.5,213,199,210.1
2026-04-02 12:00,52,87218,210.1,213,208,212.8
2026-04-02 13:00,53,99550,212.8,213.5,209.8,210
2026-04-02 14:00,58,144732,210,211.8,207.4,208
2026-04-05 11:00,60,113370,208,209,200,204.5
2026-04-05 12:00,58,92058,204.5,205,200.9,201.4
2026-04-05 13:00,60,186847,201.4,204,199,203
2026-04-05 14:00,59,136646,203,203.8,198,198.6
2026-04-06 11:00,60,190205,194.7,209,194.7,209
2026-04-06 12:00,58,97513,209,209,205.1,208
2026-04-06 13:00,54,83883,208,210.1,206.5,210.1
2026-04-06 14:00,60,178576,210.1,215.9,210,213
2026-04-07 11:00,59,153639,217.2,220,213.7,216
2026-04-07 12:00,58,81409,216,216,211.8,213
2026-04-07 13:00,38,18926,213,215,212.5,213.8
2026-04-07 14:00,53,74633,213.8,213.9,210.1,211.5
2026-04-08 11:00,56,44791,215.7,216.1,213.5,214
2026-04-08 12:00,51,72845,214,216.7,213,216.7
2026-04-08 13:00,50,63234,216.7,216.7,213,214
2026-04-08 14:00,54,69844,214,214.7,213,214
2026-04-09 11:00,54,44412,218.2,218.2,214,215
2026-04-09 12:00,53,63286,215,217.9,215,217
2026-04-09 13:00,56,56785,217,217.5,215.3,216.9
2026-04-09 14:00,53,137755,216.9,217.5,216,216.5
2026-04-10 11:00,55,47895,217.9,217.9,214,215.4
2026-04-10 12:00,55,54533,215.4,215.5,212.2,213
2026-04-10 13:00,51,94825,213,216.9,212.8,213.2
2026-04-10 14:00,51,117011,213.2,215,212.8,213
2026-04-13 11:00,58,73888,213,216.3,209.6,214
2026-04-13 12:00,48,32849,214,215.6,214,215
2026-04-13 13:00,54,116897,215,216.5,213.9,216
2026-04-13 14:00,56,139119,216,217,215,217
2026-04-15 11:00,57,155842,221,223.3,217,223.1
2026-04-15 12:00,59,259720,223.1,227,221,225.9
2026-04-15 13:00,59,192171,225.9,227,223.1,226.1
2026-04-15 14:00,58,163297,226.1,226.4,222.6,224.5
2026-04-16 11:00,60,121420,224.5,225,218.5,221.1
2026-04-16 12:00,52,43698,221.1,221.5,219,220
2026-04-16 13:00,53,100560,220,220,217,217.1
2026-04-16 14:00,57,109595,217.1,218.7,216.1,216.9
2026-04-17 11:00,53,69352,216.9,219,215,215
2026-04-17 12:00,58,83648,215,215.3,213.1,214
2026-04-17 13:00,41,30888,214,218,213.9,215.2
2026-04-17 14:00,53,63736,215.2,218.5,215.2,217
2026-04-20 11:00,56,76196,217,217.4,212,214.5
2026-04-20 12:00,51,60758,214.5,215,213.1,214.9
2026-04-20 13:00,44,23044,214.9,214.9,213.8,214
2026-04-20 14:00,53,89937,214,215.9,214,214.6
2026-04-21 11:00,52,27922,215,215,213,214
2026-04-21 12:00,44,64938,214,214,211,212.8
2026-04-21 13:00,49,14493,212.8,213,211.5,212.4
2026-04-21 14:00,56,150062,212.4,212.9,208.2,210
2026-04-22 11:00,57,59444,210,213,205,206.3
2026-04-22 12:00,58,114215,206.3,207.9,204,206
2026-04-22 13:00,49,39276,206,207.7,205.5,206
2026-04-22 14:00,52,196034,206,215,206,207
2026-04-23 11:00,51,37734,210,212.9,206,207
2026-04-23 12:00,43,17158,207,210.9,206.1,210.9
2026-04-23 13:00,45,23787,210.9,211.6,208.7,209
2026-04-23 14:00,45,56821,209,210,207.1,208.5
2026-04-24 11:00,50,37231,208.5,208.9,205,207
2026-04-24 12:00,41,38703,207,211.8,207,208
2026-04-24 13:00,50,43320,208,209,206.5,207
2026-04-24 14:00,50,44172,207,208.9,206.7,207.5
